親字	同	简化字	类推简化字	讹字	通
㯫					
㯬					
㯮					
㯯					
㯱	𣞈			𣙲	
㯲					
㯷					
㯸			𰗦		
㯺	𣔿		𰗘	𣠿	
㯻	𣠔󰝲			𡚀	
㯾					
㯿					
㰀					
㰁	𰘾				
㰂	棯				
㰃	牑				
㰅					
㰈					
㰊					
㰋	󰝴				
㰍					
㰑					
㰒					
㰔					
㰘					
㰙					
㰚					
㰛					
㰝					
㰟	𣢆				
㰠					
㰢					
㰣	𣢃𣢙				
㰤	㗿				
㰥					
㰦					
㰧					
㰨	𣢱𣣦				
㰪					
㰫					
㰬	𣱡				
㰭					
㰮	󰣧				
㰯					
㰰	𬅢				
㰲	𣤐				
㰳			𭭈		
㰴					
㰵	𰙊󰣨				
㰶					
㰹					
㰺					
㰻					
㰼	󰣫				
㰽					
㰾					
㰿					
㱁					
㱂					
㱄					
㱆	𣤼				
㱇	𰙖𰙙󰣳			𢿿	
㱈					
㱊					
㱋					
㱌					
㱍					
㱎	𣤿𧥊㱎󰵄				
㱖					
㱗					
㱞	𣧉				
㱟	㨢				
㱠	𣧮				
㱡					
㱢					
㱣					
㱤					
㱥					
㱦					
㱧	󰛼				
㱬					
㱯				𧯺	
㱰					
㱱					
㱲					
㱳	𣩎				
㱴	𣩬				
㱵					
㱶					
㱸					
㱹					
㱺					
㱻					
㱼					
㱽					
㱾	𣪈				
㱿	𣪊			𣪎𣪗	
㲀					
㲁					
㲂					
㲃				𣪙	
㲄	𡎷𣪝				
㲅					
㲆					
㲉	𣪹𣫘𥀎				
㲊					
㲋	㚟𠕗𠜌𣬋𤟭				
㲌					
㲍					
㲏	𣬢				
㲒	𪵙				
㲓					
㲔				𣮭	
㲕	𰚛				
㲖	𣭱				
㲗	𰚜				
㲚	𣮅				
㲛					
㲞	𰚡󰢨				
㲟					
㲡					
㲢					
㲤					
㲥	󰢲				
㲦					
㲧					
㲨	𣮩𣯏𥧢𦶇				
㲪	𣰆				
㲫					
㲬					
㲯			𰚪		
㲰	𰚴		𰚔		
㲲	氎𣮨𣯉𣰭𣰸𤴍𦈅𧟕𬇇󰢰			𤴉	
㲳	𣱎				
㲴	𣱪𣱯				
㲶					
㲷					
㲸					
㲺					
㲻	氼				
㲼					
㲽					
㳀					
㳁	汄				
㳆					
㳇					
㳊					
㳋					
㳍					
㳎					
㳏	𣳪				
㳐	𣲞				
㳖					
㳗					
㳘					
㳚					
㳛					
㳜					
㳥					
㳦	𣸂				
㳧	𭰮				
㳩					
㳪	𣳶				
㳫					
㳬					
㳴					
㳵					
㳶					
㳷	淴𣴵𣷤				
㳸					
㳹					
㳻					
㴀					
㴁					
㴂					
㴄					
㴇					
㴎					
㴏					
㴐					
㴒	湙				
㴓					
㴔					
㴗					
㴘	𣻥			𣶀	
㴙					
㴛	洷				
㴧					
㴨					
㴩					
㴪					
㴫					
㴬	𣽜				
㴭					
㴯					
㴲					
㴵	㵥淧󰟻				
㴶					
㴷					
㴸			𰛛		
㴼					
㴽	㴮				
㴿			𰛽		
㵀					
㵂					
㵃					
㵅					
㵆					
㵊					
㵌					
㵍					
㵎	澗磵礀𡼏𧯎	涧	𰧃		
㵐	灍				
㵑			𰜢		
㵒			𬈕		
㵔					
㵖					
㵗	󰠒		𣳆		
㵘					
㵙					
㵝					
㵞	𣿜				
㵠					
㵡					
㵢					
㵣					
㵤					
㵧					
㵨					
㵩	渫𦺁				
㵪					
㵫					
㵬					
㵮					
㵯					
㵱					
㵳					
㵴					
㵵					
㵶					
㵷					
㵹					
㵺	𣴪𤀥󰠜			𦴝	
㵻	𤁨				
㵽					
㵾	儬渹𩇟		𪷍	濪	
㵿					
㶀					
㶁	󰠤				
㶄					
㶆					
㶇	𦪗				
㶌					
㶍			𰝟		
㶏	󰠧󰠘		𰝋		
㶒			𰛩		
㶓					
㶔					
㶖					
㶗	𤀇			瀪	
㶘					
㶛					
㶞					
㶟					
㶠					
㶡					
㶣	烎			苂	
㶥					
㶧					
㶬					
㶭					
㶯					
㶲					
㶴	𤈕				
㶹					
㶼					
㶾					
㶿	𤊹𤍗𤏮				
㷂					
㷃			𰝾		
㷄					
㷆					
㷇	𡖨				
㷈					
㷋					
㷍					
㷏				𡚕	
㷒					
㷕					
㷘					
㷠					
㷡					
㷣					
㷤					
㷫					
㷬	𦹪				
㷮	𤒖𤓗				
㷯					
㷰					
㷳	𤎝𤏚𤑤				
㷹	𤒽				
㷾					
㷿	𰟩		𤈷		
㸅					
㸆					
㸇			𤎺		
㸊					
㸋					
㸌					
㸍					
㸎	𣌍				
㸒					
㸖					
㸗					
㸙					
㸚					
㸛					
㸜					
㸝					
㸞					
㸟					
㸡					
㸢	𤗌𤗩				
㸤					
㸥					
㸦					
㸨					
㸩					
㸪					
㸬	㸽牬𤘱𤙍󰢔󰢓				
㸭					
㸮					
㸯					
㸲					
㸵					
㸶	𤚕				
㸸					
㸹					
㸺					
㸻					
㹀					
㹁	𤚒				
㹂					
㹃	𤘿				
㹄				𤚠𤛵	
㹆					
㹇					
㹉					
㹊	𤙿𤛹𤜅󰢟				
㹋					
