親字	同	简化字	类推简化字	讹字	通
䃤			𬒕		
䃥					
䃦	礅				
䃧	𱴶				
䃫	𥕔𥖷				
䃬	磈				
䃭					
䃮					
䃰					
䃳					
䃴			𰧘		
䃵	𥗗				
䃶					
䃷					
䃸	䃱				
䃽	祈				
䃾	肶𥘇				
䃿					
䄁					
䄄					
䄆	䄑𥙱				
䄇					
䄈					
䄉					
䄋					
䄌					
䄍	𥛾				
䄐				𥛁	
䄓					
䄖					
䄘					
䄙					
䄚	𥛼󰤯󰤬󰤭				
䄜					
䄝					
䄟					
䄡					
䄤					
䄥	𥜧				
䄦					
䄧					
䄨					
䄩	𥢧				
䄪	𥞗				
䄮					
䄯					
䄰					
䄱					
䄲					
䄳					
䄶	𥞳				
䄸					
䄻	𥟯𰨪				
䄼					
䄾					
䄿	𥹞				
䅀	𠞜𥞥𥟜𥟸𥣭				
䅁					
䅂					
䅃	𥞣𥞱				
䅄	𥞮				
䅅					
䅆				𥝭	
䅈					
䅊					
䅋					
䅌	𧆇𪌭󵍾		𫜓		
䅍	𥟐				
䅑	𥡜				
䅓					
䅔					
䅕					
䅖	𤯚				
䅗	𥡜				
䅘	𥟂				
䅙					
䅚					
䅛					
䅜	𥢤			𥢰	
䅝					
䅞					
䅡					
䅢					
䅣					
䅤	𥟰𥠞				
䅥	𥠹𥢸𥢻󵉅󰦓󵉁				
䅦					
䅧					
䅩					
䅬					
䅭	𥻭				
䅮					
䅯					
䅰					
䅲	󰦔				
䅳	𥟷󵉂		𫀬		
䅴					
䅵	蓔𥺊𦮽𮇕			𥠦	
䅷				𦸸	
䅸					
䅺				𥢕	
䅻					
䅼					
䅾	𰨸				
䅿					
䆁					
䆂	𰨿				
䆃					
䆄					
䆅			𰨳		
䆆					
䆉			𫁂		
䆊				𥣕	
䆍	𪚗				
䆎					
䆏	𥣢𥤄𥤅𥤈𥤑				
䆑					
䆓					
䆔					
䆕	𥥞				
䆖					
䆗				𥥎	
䆘					
䆚					
䆛					
䆝					
䆞				𥧘	
䆟	㝓				
䆡					
䆢					
䆨	𥦏				
䆪					
䆬					
䆭					
䆯	𡢑𡢷𩈽			𡪚	
䆰					
䆱					
䆲	槺				
䆵					
䆶					
䆷	䆝				
䆸					
䆹					
䆺					
䆽					
䆾					
䇁				𥩑	
䇂					
䇆					
䇈					
䇉					
䇋					
䇌					
䇍	竐				
䇎	𥪶				
䇏	𥫉				
䇐					
䇑	𥪎				
䇓	䇕𥪃𥪙𥪥𫖠		𰩧		
䇔					
䇖					
䇗					
䇘	䊺𥫻𥾙󰧟		𫄚		
䇙					
䇛					
䇜					
䇞					
䇠	樦				
䇢					
䇣					
䇤					
䇦	𥬺				
䇧					
䇨					
䇩					
䇪					
䇫	𥭱				
䇬					
䇭					
䇮					
䇯					
䇰					
䇶					
䇷					
䇸					
䇻					
䇼					
䇽					
䇾					
䈀	𥮚󰧨				
䈁					
䈂					
䈃					
䈄	筨𥲌				
䈆	簤				
䈈					
䈉					
䈊					
䈋					
䈌					
䈍					
䈎					
䈏					
䈐					
䈑					
䈒					
䈓					
䈕					
䈖					
䈗					
䈘	𥴺				
䈙					
䈚					
䈛	𥲖				
䈜	𣖯				
䈝	𥮪				
䈟					
䈠					
䈡	󰧹				
䈢	𥯲				
䈣					
䈥					
䈦					
䈧	䈧					
䈪	𥮬				
䈬					
䈭					
䈮					
䈯					
䈰					
䈱				𥮛	
䈲					
䈳					
䈴	󰨀				
䈵					
䈶					
䈸					
䈺					
䈻	𥮉				
䈼					
䈽	𥭤				
䈾					
䈿					
䉀					
䉁	䉹				
䉂	𥳮				
䉃					
䉄	󰧳				
䉅					
䉆					
䉈	𥷭				
䉉					
䉊					
䉋	𥶫				
䉌	𥴦𥶼				
䉍					
䉎					
䉏					
䉐					
䉑			𫁲		
䉓					
䉔	𥴷				
䉕					
䉗					
䉙					
䉚					
䉛					
䉜	𥴢				
䉝					
䉞	𥱷𥴶				
䉟	篧				
䉠	𥰙󰧵				
䉡					
䉢					
䉣	𥶘				
䉦	󰧥				
䉧	𥳩𥷢				
䉨					
䉪					
䉫					
䉬	䕠蕟𥳊		𫂈		
䉭					
䉮					
䉯					
䉰	𥰹				
䉱	䉩				
䉳					
䉴					
䉵					
䉶	𫁷				
䉷	厂𥸂				
䉸					
䉺	粠				
䉻	𥸳				
䉾	粊𥺘𥺟𥼠𥽑				
䊂					
䊃					
䊄					
䊅					
䊆					
䊉					
䊊	䅏䬿𥹹󰦐				
䊍					
䊎	𥹳𥻖𥽊󰪛󰪙				
䊓					
䊔					
䊖					
䊗					
䊘					
䊙					
䊛					
䊜	𥻁				
䊝					
䊞					
䊟	󰪝				
䊡	󰪞				
䊤	𥾁				
䊥					
䊦					
䊨					
䊪	𥻃				
䊫					
䊬	󰪣				
䊭	󰪟				
䊮	𥣞				
䊰					
䊱					
䊲	𥽱𥽽𪉺󰲗󰪤				
䊳					
䊴					
䊵			𮉠		
䊻					
䊼					
䊽					
䊾					
䋀	𥿅			𡱏𥾩	
䋂	𥾥				
䋃			𫄜		
䋈					
䋉	䊽				
䋊					
䋎			𬘜		
䋏					
䋐			𬘙		
䋑			𰬃		
䋔					
䋖					
䋙			䌺		
䋛	𥹫𥽲𪓋				
䋟	󰫛				
䋢					
䋣	𥿋𦃍󰫲				
䋤	𦆗				
䋥					
䋦					
䋨					
䋩					
䋪	䋍				
䋫			𰬑		綪
䋭					
䋰	𦀤𦀥𦦆				
䋵					
䋶					
䋷					
䋸	𦅑				
䋻					
䋼	𦀚				
䋽	𥀂𧛜		𰬭		
䋾	𦅁				
䋿			𦈓		
䌀					
䌁					
䌅					
䌆					
䌈			𦈖		
䌋			𦈘		
䌍					
䌎					
䌐					
䌑	䋗			䋌	
䌒					
䌔					
䌖	󰝯		𦈜		
䌗					
䌘					
䌙					
䌚					
䌜					
䌝			𦈟		
䌞					
䌟			𦈞		
䌠	喊𦆃				
䌡					
䌢					
䌣					
䌤					
䌥			𦈠	𦅂	
䌦					
䌨	𦷞				
䌩					
䌪	𢸴𦇾				
䌭					
䌮					
䌯					
䌰			𦈙		
䌳	䌤𦂛			𦇼	
䌴	䌱			𦇽	
䌵	𦅉𦆂				
䍃					
䍄					
䍇	𦈮				
䍉					
䍊					
䍍	𦈴				
䍎					
䍔					
䍕					
䍗					
䍘	𥹄𦊮				
䍙					
䍚					
䍛					
䍜					
䍝					
䍟					
䍡					
䍣	𦌵				
䍤					
䍥					
䍦			䍠		
䍨	𦍜				
䍩					
䍪					
䍫	𦍔𦍥				
䍬					
䍮	𦎉				
䍱	𦍗				
䍲					
䍳					
䍴					
䍵					
䍶	𤟈󰪳				
䍷					
䍸	𤝔				
䍺	𦏖				
䍻					
䍼	𦏋				
䍽	𦏈𦏩		𦍠		
䍾					
䍿					
䎀					
䎁					
䎂	𦐙				
䎃	𦐎𦐘			𦐃	
䎄					
䎅	𦐚				
䎆					
䎇					
䎈	𦏸𦐕𦐞𦐪𦐫󰪽				
䎉					
䎊	𦐦𦑀				
䎋					
䎌					
䎎					
䎏					
䎐					
䎑					
䎒					
䎓					
䎔	䎍𦑷				
䎕	𦐥𦒃				
䎖	󰫅				
䎗	𦑽𦒓				
䎘			𬚄		
䎙	𪇧󰫆				
䎜					
䎟					
䎠				𦓏	
䎡	𨅲				
䎢	𦓪				
䎤	𦔁				
䎦					
䎧	稖𢮏𦔑󰡍				
䎨					
䎩	𤰭				
䎪					
䎭					
䎮	𦔝				
䎳					
䎴					
䎶					
䎷					
䎺	𦕶				
䎻					
䎼					
䎿	𦖣				
䏀	𦖨				
䏁					
䏂	𦖪				
䏃					
䏄	聜				
䏅	𦕀				
䏆	𦗠				
䏇	𦗩				
䏉					
䏌					
䏍					
䏎	󵆍				
䏏	𦘼				
䏐					
䏒					
䏓					
䏔					
䏕					
䏖	𦙢				
䏘	𦙬				
䏙	𰮐				
䏚	𦙧				
䏛					
䏜					
䏞					
䏟					
䏠					
䏡	󰧑				
䏢					
䏦					
䏧					
䏨					
䏪					
䏫					
䏬					
䏰					
䏱					
䏲					
䏳					
䏴	𦡱				
䏵	朦				
䏶					
䏷					
䏹					
䏺	䏾				
䏼	𰮦󰧗				
䏽	󰧘				
䏿	𦜑𦜹				
䐀					
䐁	㞘𡰪𡱰				
䐂					
䐃					
䐄	𤎡𦜿				
䐅					
䐆					
䐈					
䐉					
䐊					
䐋					
䐎					
䐏					
䐐	𦝱				
䐑	𠝝𦜈𦜪𦜫𦣀𰯏				
䐒					
䐓					
䐔					
䐕					
䐖					
䐗					
䐘					
䐚					
䐜					
䐝	䞆𧷣󰭇󰣙			𧶈	
䐞					
䐟					
䐠					
䐢	䐍𦚲𦛑𦛴𦜻				
䐣					
䐤					
䐥					
䐦					
䐨	󰣾				
䐩					
䐫					
䐬					
䐭					
䐮					
䐯					
䐱					
䐲					
䐴	䏗𦟡				
䐵	𪏍				
䐶					
䐷					
䐸					
䐹			𰮲		
䐺					
䐻					
䐼	𦝜				
䐽					
䐾	𦡇𰯞				
䐿					
䑀					
䑁	󰧜				
䑂	𦚪				
䑄	󰣠				
䑆					
䑇					
䑈					
䑉					
䑊					
䑋					
䑌					
䑎					
䑏					
䑔	𦥡𦥥󰨎				
䑗					
䑘					
䑙	舑𰰀				
䑜	𤝓𦧱				
䑠					
䑣					
䑤	𦨽				
䑥					
䑦	𦨛				
䑩					
䑪					
䑫					
䑬	艞𦩄𦩹				
䑯					
䑱	𦨨				
䑳					
䑴	𦨘𦪆󰨢				
䑶					
䑸					
䑹					
䑻					
䑼	𦩙		𰰌		
䑽	󰨷				
䑿	𦪓𦪥𦪺				
䒀	䑧䑰𰰐				
䒁					
䒄					
䒅					
䒆					
䒇					
䒈					
䒉					
䒊	𦫦𦫬				
䒋					
䒌	𦫮				
䒍	𦫣				
䒎					
䒏					
䒐					
䒓	𦫼				
䒔					
䒕					
䒖					
䒚					
䒛					
䒜					
䒞					
䒟					
䒡					
䒢					
䒤					
䒥					
䒦	𦭢				
䒧					
䒨					
䒩	萂				
䒪					
䒫					
䒰					
䒲					
䒴					
䒵					
䒷	𤫵𦯚				
䒸					
䒹					
䒻					
䒽					
䒾					
䓂					
䓃					
䓄				𦱄𦳍	
䓆					
䓇					
䓈	𦲴				
䓉					
䓊	茣𦸭				
䓋	菭				
䓌					
䓎					
䓏	芣				
䓐					
䓑					
䓗					
䓘					
䓙				𦴂	
䓚					
䓛	𥮝				
䓜	𥁼𦽘				
䓝					
䓞					
䓟					
䓠	𦵺				
䓡					
䓢					
䓣					
䓤					
䓥					
䓫					
䓭					
䓮					
䓰					
䓱					
䓲					
䓳					
䓴					
䓵					
䓸					
䓺	𤎀				
䓼	𧀔			𦳨	
䓽					
䓾					
䓿					
䔁					
䔂	𦬷𦭄				
䔃					
䔄	𦾾				
䔅					
䔆					
䔇			𰰴		
䔈					
䔉					
䔊					
䔋					
䔎					
䔏	𦹢				
䔐					
䔑	𦳃				
䔒					
䔓					
䔔					
䔕					
䔗					
䔙					
䔚					
䔝					
䔞					
䔟					
䔠					
䔡	䓊		𬝁		
䔣					
䔤					
䔪					
䔬					
䔭					
䔮					
䔯	𧃗𨡱				
䔰					
䔱					
䔲					
䔳					
䔴				𦿎	
䔶	𦻀				
䔷	𧂖				
䔸	𦼐				
䔹	𧁂				
䔺	𦳉𧁼𧄙𧅢				
䔻					
䔼					
䔽					
䔾					
䔿					
䕀	𦽣				
䕁					
䕄					
䕆	𦸄				
䕇	蒐				
䕈	𦺯𦼶				
䕉					
䕊					
䕋					
䕌					
䕍	𧃥				
䕒					
䕓					
䕔					
䕕	𧂧				
䕗					
䕘					
䕛					
䕝					
䕞					
䕟					
䕡			𰱩		
䕢					
䕣					
䕦	萾				
䕧					
䕩	𧀪𧃉𧃬				
䕪					
䕭					
䕮	𦵳𦶗𧃓				
䕰					
䕱					
䕳	𦰴𦱨				
䕵					
䕷	𧃲				
䕺					
䕻	𡔉𡔓𧅳				
䕼	𧅻𧆖				
䕽					
䕾					
䕿					
䖁					
䖂	虊𧄶				
䖃					
䖅					
䖆	𧅼				
䖊	𧆤				
䖌					
䖎					
䖐					
䖑	𧆽𧇅𧇻󰦛				
䖒					
䖓					
䖔					
䖕	𧇇				
䖖					
䖘	𧇢𧈒				
䖙	𠥸				
䖚					
䖛					
䖜					
䖞					
䖡					
䖢					
䖦	𪓭				
䖧	𤷈				
䖨					
䖩					
䖪					
䖭					
䖯					
䖰					
䖱					
䖲					
䖳	蜡				
䖴					
䖵	䐊蜫				
䖶	鼿𪖤𪖾				
䖷					
䖹					
䖺					
䖻					
䗀					
䗁					
䗂					
䗃	𧔢		𰲳		
䗄					
䗅					
䗆					
䗇					
䗉					
䗊					
䗋	𧋟				
䗌					
䗍					
䗎					
䗏					
䗐					
䗑					
䗒					
䗓	蟌𧋙				
䗔					
䗗					
䗘					
䗙					
䗚					
䗛					
䗜					
䗟					
䗡					
䗣					
䗤					
䗥			𰲯		
䗧					
䗨					
䗩	𧐶				
䗪					
䗮					
䗯	𧎽				
䗰					
䗱					
䗲					
䗴					
䗵					
䗷	𧕢			𧔁	
䗸	𧒱				
䗺					
䗼					
䗽			𰳚		
䗿					
䘀					
䘃					
䘄					
䘆					
䘈					
䘊					
䘋	䘂				
䘎					
䘒	𧗔				
䘓	𧖾𧗀𧗐𧗛𧗜󰨞				
䘕					
䘘					
䘝					
䘟					
䘡					
䘢					
䘣					
䘤					
䘥					
䘦					
䘨					
䘩					
䘪					
䘬					
䘭					
䘯					
䘰					
䘳	𧛛				
䘵					
䘶	𧜄				
䘷					
䘸	𧜥				
䘹					
䘺					
䘻					
䘼					
䘽					
䘾					
䘿	袦镼𩭪				
䙁					
䙃	𧝍				
䙄	𧚎𧛳				
䙅					
䙆					
䙇					
䙈					
䙉					
䙎	𦃝𧚃𧜋󰫳				
䙏					
䙐					
䙒					
䙔	𧞨		𫋲		
䙕	𧛝󰩸				
䙘	𧞛				
䙞					
䙟	𠆎𧝖				
䙠					
䙡	𧝷	䙌			
䙢					
䙣	𧞁				
䙤					
䙦					
䙩					
䙬					
䙮	䌯				
䙯					
䙰					
䙳	𧟧				
䙵					
䙼	󰔎				
䙽					
䙾	𧠉				
䙿					
䚂					
䚃					
䚄					
䚅	𧡛󰭏󰭍󰭎				
䚆					
䚇					
䚈					
䚉	𧡘󰭐				
䚊					
䚋	𧡡				
䚍	𧢔				
䚏					
䚐	覿𧡐				
䚒					
䚔	𧢘				
䚕	𥌿𧢮		𰴗		
䚗	𧢸				
䚘	觕𧢴𧤀𧤚				
䚙	𧣰				
䚚					
䚛					
䚜	𧤃				
䚝					
䚞			𰴤		
䚟					
䚠					
䚡					
䚢	𧤇𧤈				
䚣	𧤘				
䚥	𧢺𧣏				
䚦	𧤧𧤫				
䚧	𧥂			𦠧	
䚨	𧢿𧣘𧤔				
䚩	𧤦		𫌯		
䚪					
䚫					
䚬					
䚭	𧤆				
䚮	𧥰𧦛𧦯				
䚳					
䚴					
䚵					
䚶					
䚷					
䚸					
䚻	𧦗			𧥲	
䚽					
䚾					
䚿					
䛀			𰵐		
䛁	𠊌𧦦𧧛		𰵘		
䛃					
䛄	𧧁𧩷				
䛅					
䛇					
䛈					
䛉					
䛊					
䛋					
䛌			𰵜		
䛍					
䛎					
䛏					
䛔	𧦀				
䛗	訨𧧰				
䛘			𬣯		
䛙					
䛚					
䛝					
䛞					
䛠			𰵫		
䛢					
䛣					
䛤					
䛥					
䛩	𧪛				
䛪					
䛫					
䛬	䛌啕				
䛭	𧨫		𰵰		
䛮					
䛯					
䛰					
䛱					
䛳					
䛴					
䛷					
䛹					
䛽	𧪗𧬿				
䛾					
䛿					
䜃					
䜅					
䜆					
䜇					
䜉				𧬠	
䜊					
䜋			𬤉		
䜌	𤔪𤔭				
䜍					
䜎			𬣿		
䜏	𧨪𧩭		𰶇		
䜐					
䜑					
䜒					
䜓					
䜔					
䜕	𧭡𧮇𧮏𧮚				
䜗					
䜙					
䜚				𧮅	
䜜					
䜝					
䜡					
䜢					
䜪					
䜫					
䜮					
䜯					
䜱	𧯐				
䜲					
䜴					
䜶					
䜷					
䜸					
䜹					
䜺					
䜼	𧯸				
䜽					
䜾	𧯹				
䝀	𰶡				
䝁	𥢒𦺜𧰉				
䝃	𧰁				
䝄					
䝅					
䝈	豟𤜸𧲒			𧱒󰕜	
䝋	𧱭			𧱍	
䝍					
䝎					
䝏	㺏貗𧲕		𰶬		
䝐	𤡪𧱞𧲆𧲑𧲗𧲚𰶭				
䝑					
䝒	𧱛󵀌				
䝓					
䝕	𤣒				
䝖					
䝚					
䝛					
䝜					
䝞					
䝟	𧳳				
䝢	𧴝				
䝣					
䝤	㺐𧳻				
䝦					
䝧	𧵣				
䝪	𧶳				
䝫					
䝬					
䝭					
䝰	𧶱				
䝱					
䝳					
䝵					
䝶	󰭅				
䝷					
䝸					
䝹					
䝻			𧹕		
䝼		䞍			
䝽					
䞀					
䞁					
䞂	𧸀				
䞃	𰷏				
䞄					
󰭆	𧵥䞈		𧹑		
䞋			𫎪		
䞑					
䞒	𰷯				
䞔	𧹧				
䞕	𧹸				
䞖				𧺱	
䞗					
䞘	𧺞󰫺				
䞙					
䞚	𧼘				
䞛					
䞝					
䞞	𧼗󰬂				
䞟					
䞠					
䞡					
䞢					
䞣	𧻀𧻧𧼳𮚺				
䞤	跔𠹪				
䞥					
䞦					
䞧					
䞩					
䞪					
䞫	𧼐				
䞭	𧼭				
䞮					
䞯					
䞰					
䞱					
䞳					
䞴					
䞵	䟾				
䞶					
䞹					
䞺					
䞻					
䞽					
䞾	𧼥				
䞿					
䟀					
䟁					
䟂	𧽰𧽱𧾈				
䟃	𧾋		𫎺		
䟄					
䟅	𧽯				
䟆	𠌫		𫎳		
䟇					
䟈	𢕂𧽮𧾞			𢔹𢕽	
䟉					
䟊	𰷾				
䟋					
䟍	𧾫				
䟏			𰷴		
䟐	𢔸𢖙𧽺				
䟑					
䟒	𧼚				
䟓					
䟕					
䟗					
䟘	𧿦				
䟙					
䟛	𧿳				
䟜	𢓇				
䟝					
䟟					
䟠	𨃂				
䟡	𧿟𧿠𨀇󰭘				
䟣					
䟤					
䟥					
䟧					
䟨					
䟩	𨅫				
䟪					
䟫	蹚				
䟬					
䟮					
䟯					
䟰					
䟴	𢼧				
䟵					
䟶					
䟷					
䟸	䠏				
䟹					
䟺	䟛跋				
䟻					
䟼	躌𨅐𨖴				
䟾	䞵				
䟿					
䠀					
䠃					
䠄	𨆁				
䠅					
䠆					
䠇	𠡰				
䠈					
䠉					
䠋	卑				
䠍					
䠎					
䠏					
䠐					
䠑	𨅆				
䠒					
䠓					
䠔					
䠕					
䠗	𧻁			𨃔	
䠘					
䠙					
䠚					
䠛					
䠜					
䠝					
䠟	𨄌𨄧				
䠠			𰸛		
䠡	躦𨇃				
䠢					
䠤					
䠧					
䠨	𨅧				
䠩			𰸊		
䠪	躖𨇰			𨇔	
䠫					
䠬					
䠯	𨈅				
䠰					
䠱	𨅛				
䠳					
䠴	竧				
䠵					
䠷					
䠸	𨉀				
䠻					
䠼	𧙠				
䠽					
䠾					
䠿					
䡀	儃				
䡁					
䡂	󰬋				
䡃					
䡅	輇𨋮		𰹳	𰺆	
䡆	䡥				
䡈					
䡉					
䡊			𰹺		
䡍					
䡐					
䡑	䡻		𰺤		
䡓					
䡔	𨌋				
䡖					
䡗					
䡘	䡒		𬨉		
䡙					
䡚	𨌓󰬙			𨍧	
䡜	𨎈				
䡝			𰺑		
䡞					
䡟	𨌦		𬨌		
䡡					
䡢					
䡣	𨏂			轋	
䡤					
䡦			𬨑		
䡧					
䡩					
䡪					
䡫	𨏕				
䡬	𰹥				
䡭					
䡯	𨌪				
䡰	䡠𨋔𨍵󰬞		𰺘		
䡲					
䡳					
䡴			𰺝		
䡵	𨍨				
䡶					
䡷			𰺡		
䡽	𨏘𮝰				
䡾	𨏾		𰺠		
䢃					
䢅					
䢇					
䢈			𰺭		
䢋	䢎󰛀				
䢌	𨒠󰭾				
䢍					
䢏					
䢑	𨑼				
䢒	𧻨				
䢓	󰛞				
䢔					
䢕					
䢖					
䢗					
䢙	𠟻				
䢚	𨁈				
䢝					
䢞					
䢡	𨔘				
䢢					
䢦					
䢧					
䢭					
䢮					
䢱	𨙋𨙜			𠅓𨗣	
䢲					
䢳					
䢵					
䢸					
䢹					
䢺					
䢻					
䢼	䣏				
䢿					
䣀					
䣁					
䣂	洡				
䣄					
䣅					
䣆	󰭢				
䣇					
䣊	䣣𨜂				
䣋					
䣍					
䣎					
䣐					
䣓					
䣔	𨝉				
䣕	䣖				
䣘	𨞱𨟐				
䣙					
䣚					
䣛	𨞢				
䣝					
䣟	䣠𰼀				
䣡					
䣢	䎰𨛳𨞒𬪕				
䣤					
䣦					
䣧					
䣩	䣨󰬨				
䣪	䣮󵊍				
䣫					
䣬					
䣯					
䣵	𨠧				
䣶					
䣷					
䣸					
䣹	𨠰				
䣺	󰬬				
䣻					
䣼	󰬯				
䣿	𨡖				
䤁					
䤂					
䤃					
䤅					
䤆					
䤉	𨠔𨡕𨡟𨢡				
䤊					
䤋					
䤌			𮠞		
䤍	𨢥		𰼑		
䤎	𪊀				
䤏	𨢙𰼒				
䤐	𰼓				
䤑					
䤒					
䤔					
䤕					
䤖					
䤗					
䤘	醦𨣲				
䤙	𨣰				
䤝					
䤞					
䤠			𰽠		
䤡					
䤤					
䤥			𰽺		
䤧					
䤨	鈲𨦝		𰽸	𨥝	
䤩	𨧯		𬭈		
䤬			𰾈		
䤭					
䤮					
䤰					
䤲					
䤳					
䤴	䥁				
䤵					
䤶					
䤷					
䤹	𨫂				
䤻			𰾖		
䤼			𬭣		
䤽					
䤾					
䥂					
䥃					
䥄					
䥇		䦂			
䥈					
䥉	鋺				
䥋					
䥎					
䥏	𨯣				
䥑			鿏		
䥒					
䥓					
䥔					
䥗			𫔋		
䥙	鐆鐩				
䥛			𬭴		
䥝	𨰅		𰿁		
䥞					
䥟					
䥢	𥖫𥗣				
䥤	鉋				
䥨					
䥩			𨱖		
䥮					
䥯	䎱𨰟	䎬	𫔆		
䥰					
䥱					
䥲					
䥳					
䥵					
䥸	𨧮𨨮				
䦈				𩬡	
䦊				𨲂	
䦋	𨲶				
䦌	𢨸𨳳			𢨫	
䦍					
䦏	𨳚𨳜				
䦑					
䦒					
䦓					
䦔					
䦖					
䦙					
䦚					
䦛		䦶			
䦜	𨵒				
䦝					
䦟		䦷			
䦠					
䦡					
䦣					
䦤					
䦥					
䦪			𰿴		
䦫					
䦭					
䦮					
䦯			𫔵		
䦱	𨷕		𰿫		
䦲					
䦳			𨷿		
䦴					
䦹					
䦺					
䦻	𱀂				
䦼	𨺤𨼱𱀅				
䦾					
䧁	𱀉				
䧃					
䧄					
䧅					
䧆					
䧇					
䧉					
䧊					
䧋					
䧌					
䧑	𱀔				
䧒					
䧓					
䧔					
䧖					
䧗	󰯂				
䧘					
䧜					
䧝					
䧞					
䧢			𨸟		
䧥					
䧦	䧦				
䧧					
䧨	𨼙				
䧪					
䧮					
䧯	𨽊				
䧰					
䧲					
䧳					
䧴					
䧷					
䧹					
䧿					
䨁					
䨂					
䨈	𧵯𱁏				
䨊	𩁵				
䨐					
䨑					
䨒					
䨗					
䨚					
䨛	𩃑𩄜				
䨜	𬯿				
䨝					
䨞					
䨟					
䨢					
䨣					
䨤					
䨥	𩆿𩇈				
䨨					
䨫					
䨰					
䨲	㝹𢉕𤸩𩆟󰛆			𡽏󰚄	
䨳					
䨴	𩅲𩆰		𱁒		
䨵					
䨸					
䨹					
䨺	𩅣𮦖				
䨻					
䨼	𩇥				
䨽					
䨿	𩐄				
䩀					
䩁	靟𱁯				
䩂					
䩃					
䩅					
䩆					
䩇					
䩉	𩈨				
䩊	𩈱				
䩋	𩉌𩉑𩉚				
䩌	𤎂𩉈				
䩍					
䩏					
䩐	𩉟				
䩒	𩉞				
䩓					
䩔	𩊜𩎫				
䩕				𩊕	
䩚	䩘𩉱𩉶				
䩛	鞸鞞		𱁴		
䩞	𩌤				
䩟					
䩡					
䩢					
䩣					
䩤	䩐				
䩥					
䩦	鞗𠌙				
䩧					
䩨					
䩩					
䩪	䪀				
䩬					
䩮					
䩯	𩏊				
䩱					
䩲					
䩳	𩌅𩌱				
䩴					
䩶	䩶				
䩸	䇀𣯏𩉪𩊐𩍮				
䩹	𩋽				
䩺	𦃽𩉭				
䩼	𩊩				
䩽					
䩾					
䪁	𩌣𩍩			𩋼	
䪃					
䪆					
䪈					
䪉					
䪊			𫖅		
䪋					
䪌	縿				
䪎	鞖𩍺				
䪏			𩏼		
䪐			𱂅		
䪒					
䪓			𬰳		
䪔	𩏮𩏵				
䪕					
䪗	𩋥		𩐀		
䪘					
䪙	䪖𩋟𩌏𩍿				
䪚					
䪛					
䪜			𬰷		
䪞	𩐄				
䪤	𩇼𩇾𩈀𩐏			𥼞	
䪥			𱂎		
䪦	叿𠲓			㖓	
䪧	𩐜				
䪨					
䪫	𩐺𱂑				
䪬	𥩾				
䪭					
䪮					
䪯					
䪱					
䪳					
䪴	𩑜		𫖫		
䪵					
䪶					
䪷					
䪸	𩔉𩕻𩑥				
䪹	䫊𩑢				
䪻					
䪼	肫		𱂢		準
䪽					
䪾	𩒀𩒈𩒉				
䫀	𩑡𩒝				
䫁				𩓑	
䫂					
䫃					
䫄					
䫅					
䫆					
䫈					
䫋					
䫌	𩔅𩔙		𱂮		
䫎					
䫏	䫑魌		𬱦		
䫐					
䫑					
䫒	䪸𩑥𩔉				
䫔					
䫕					
䫖					
䫗	𢝄				
䫘					
䫚					
䫛					
䫜			𬱮		
䫞					
䫟					
䫠	𩓄𩓭𩔌				
䫡					
䫢					
䫣					
䫤					
䫥					
䫦	䪺𩕭				
䫩	𩕞				
䫪					
䫫					
䫬	𩕗				
䫭					
䫮					
䫰	𩕔𩕶𩕼				
䫲					
䫴			𩖗		
䫵	𩕰𱂞				
䫶	𩕒				
䫸	𩖙				
䫺	𩖢				
䫻			𫗇		
䫼					
䫽					
䫾	𩘆				
䫿					
䬀			𱃖		
䬁					
䬂			𬱸		
䬄					
䬅	𩗅𩘡		𱃚		
䬆					
䬈					
䬉					
䬊					
䬋	𱃃󰯥				
䬌	𩗸𱃄				
䬍	𩗛𩘐𩙤			𧢰	
䬎					
䬏	𱃆				
䬐	𡣉𩗯		𱃜		
䬑	𩘤𩙊				
䬒	𱃈𱃌			𩘖	
䬓			𫗊		
䬔			𱃞		
䬕					
䬘	𩘲		𩙮		
䬛					
䬝	䬖𩙁		𩙯		
䬞	𩘿		𩙧		
䬟	𩗩𩙄𩙔		𱃙	𩙗	
䬣	𩚋𩜐		𱃱		
䬦					
䬧					
䬪					
䬫	𩚞𩚢𩚨𩛀𩜡				
䬯					
䬰					
䬱					
䬲	𩚘		𬲯		
䬳			𱃷		
䬴	𦾒				
䬵					
䬶					
䬷	𩜉				
䬹			𱃸		
䬼	𩝤𩟁				
䬽	䭨祱𩟥				
䬾			𬲻		
䬿					
䭀	𨑏𩛓		𩠇		
䭁					
䭂					
䭃			𩠈		
䭅			𬲾		
䭆					
䭇	𩜺		𬳀		
䭉	𩞢𩟆𪍳			𩜼	
䭎	䭟𥻈				
䭐	䬺䭥𩞭				
䭑					
䭒					
䭓	䅱		𱃹		
䭔	䊚𩛍𩜀𪌤		𫗰		
䭕	𩞏𩟗				
䭖					
䭘	䬬䭊䭗		𱃵	鐛	
䭙	𩞲				
䭝					
䭞					
䭠					
䭡			𱄉		
䭢	𩞜				
