正字	異体字	附録字
㩝	􄑎	
㩠		
㩡		
㩢	􄑙	
㩣	􄑗	
㩤	󿇲	
㩧	𢹯𣀛􄑘	
㩨	㨹	
㩩	𢹃𢹟󶫀􄑖	
㩯	􄑥	
㩱		
㩲		
㩳	㧐𢱤㨦	
㩴		
㩵	擜􄑭􄑬	
㩶	𢰀𢲺𢺊󿄉󿈹􄑮	
㩷		
㩹	㩸	
㩻	攰𢼨𤿡􄑱	
㩼	𢻈	
㩽	𢺷𢻵	
㩾		
㩿	㪂󸘭	
㪀	󻛥	
㪁	鈙󺮋	
㪄	󺸠	
㪇	󻛷􄒀	
㪈	󺭣	
㪋	攼	𢽎
㪌	󰞬	
㪎	󶚟󶚞	
㪏	𢽛󰩲	
㪑	𢽱	
㪒	󰞮􄒑	
㪓	􄒏􄒎􄒐	
㪕	󻰝	
㪖	􄒍	
㪜	󰞲	
㪝	󻰶	
㪞		
㪠	􄒙	
㪡	󰞶	
㪢	𢾐􄒓􄒒󳆕	
㪤	󺬎󺬠	
㪥	󵵖󻝚􄒠	
㪦	󰞹	
㪨	󻝤	
㪩	􄒨􄒧	
㪬	󺯷􄒲	
㪭	􄒳􄒴󻲣	
㪮		
㪱	󼅆	
㪴		
㪵		
㪹	􃢼	
㪺	𣂏𨞜𨟛󼌭􃢾󱁇	
㪻	𢍶	
㪼		
㪾		
㫂	􃣁	
㫃	𭤨􃣇􃣆	
㫊		
㫍	􃣋	
㫎	𣄈	
㫏		
㫐		
㫒		
㫓		
㫗		
㫘	󿖑􄒺	
㫙		
㫛		
㫜		
㫝	󰟇	
㫞	㫦􃣙	
㫟	昖	
㫠		
㫰		
㫱	㬄	
㫲		
㫵		
㫶	晭	
㫷	􃣛	
㫸		
㫹	􄒻	
㫻		
㫽	󰱮􃣜	
㬂	𣈦	
㬃		
㬇	􃣡󻣝	
㬊		
㬋		
㬎	𣊡􃣧	
㬏	􃣟􃣞􃣠	
㬒	􃣬􃣫󻤡	
㬓	𣊠􃣩	
㬔		
㬗		
㬘	􃣰	
㬚	󻥩	
㬛		
㬣		
㬦		
㬬		
㬮	𣋸𣌖𦍀󻩱	
㬯		
㬲	𣍙󴥐󴦆􃣸󼰻	
㬳	𦙗	
㬴		
㬵		
㬸	􃣼	
㬹		
㬻		
㬼		
㬿	朜􃣿􃤀􃣾	
㭁		
㭂		
㭄		
㭇		
㭈	􃤆	
㭌	桙	
㭑		
㭒	杞𣐵梩	
㭔		
㭕		
㭘		
㭙	棏𣚅㯖󻊳󿕟􃤍	
㭚	𣖺	
㭛		
㭜		
㭝		
㭞		
㭠		
㭡	􃤎	
㭢		
㭩	􃤔	
㭪		
㭫	𣖵	
㭬		
㭭	􃤑􃤅	
㭯		
㭰	𠲿𭉨𠿘嘴𡁫𭪿􃤤󳦣󳦤􃤥􃤣􄒽	
㭸	󰝎􃤠	
㭹		
㭺	𣚖	
㭼	𣒩󻉆	
㭽		
㭾		
㭿		
㮀		
㮁		
㮂	󻆺􃤦	
㮃	𦓽	
㮅		
㮇	𣕊	
㮈		
㮏		
㮐		
㮑	󺴶􄒿	
㮔		
㮕	𣚊檽	
㮖		
㮗		
㮘	枆	
㮙		
㮛		
㮜		
㮝	㮝󻊒	
㮟		
㮣	概槩󿶽	
㮥	桳	
㮦		
㮧	􄓔	
㮨	󻈽	
㮩		
㮪	󱅘􄓍	
㮫	􄓂	
㮬		
㮭	㮀􄓆	
㮯	䚠	
㮰		
㮱		
㮲	𣔖􄓕	
㮴	𣔱艘􄓙	
㮶		
㮷	󻉿􄓐	
㮹	𭪸󻊄	
㮿	􄓦	
㯀	𣒀𰘡	
㯁		
㯂	󻋻	
㯃	􄓢	
㯄	􄓬	
㯅	􄓜	
㯆	􄓛	
㯊	􄓞	
㯋		
㯎		
㯔	𥳈	
㯕		
㯗		
㯘	􄓱	
㯙		󻌶
㯛	𣝄󻉳󻊮􄓰	
㯝		
㯞	𣚓	
㯠	􄓝	
㯡	􄓺	
㯢		
㯤	𣘐	
㯥		
㯫	􄔄􄔅	
㯬		
㯮		
㯯	𥂃	
㯱	𣙲𣝐𣞉󻍱	
㯲		
㯷		
㯸	􄔖	
㯺	𣠿􄔥	
㯻	𡚀𣠔	
㯾		
㯿	􄔮􄔰􄔯	
㰀		
㰁	𰘾	
㰂	棯􄔦	
㰃		
㰈		
㰊		
㰋	󰝴􄔸	
㰌	𣒆𣓘榷	
㰑		
㰔		
㰘	㰘􄕊	
㰚	樆	
㰛		
㰝		
㰟	𣢆󵘝	
㰠		
㰡	𣣶	
㰢	𣢴	
㰣	𣢃𣢙􄕜	
㰤	㗿	
㰥	𣢓󼀩	
㰧		
㰨		
㰩		
㰪		
㰫		
㰬	𣱡	
㰭		
㰮	􄕞	
㰯		
㰰	𬅢	
㰲	𣤐􄕢􄕡	
㰳		󼁖
㰴		
㰵		
㰶		
㰹	􄕦	
㰺		
㰻	歖	
㰼		
㰽		
㰾		
㰿		
㱁		
㱂		
㱄	󵜼	
㱆	𢨛𣤴	
㱇	𢿿󻲊􄕶􄕷󰣳	
㱈		
㱊		
㱌	􄖁	
㱍		
㱎	㱎𣤿𧥊󼂺󰵄􄖂󾊛	
㱖		
㱗		
㱙	𭭿𣦿𣧔𣧬	
㱚	𣧻𦚛䏼󴃈󱄬󻒎	
㱛		
㱜	󻑸	
㱞	𣧉󼡺󼢒	
㱟	㨢𤿇󼢔󽊞	
㱠	𣧮󻒤	
㱡	󼢙	
㱢	󼢫	
㱣	󼢨	
㱤	𣨗󼢯	
㱥	󿕴	
㱦	𥏜󼢰󻓁󼣆	
㱧	󼢺􄖠􃤬	
㱫	𣩼󼢿􄖧󼣺	
㱬	󼣀	
㱯	󼣑	
㱰	󼣖	
㱱	􄖱􄖲󼣄	
㱲	󼣕	
㱳	𣩎􄖴􄖳󱅫	
㱴	𣩬󼣗	
㱵	󼣠	
㱶	𣨥󼢷󼣢	
㱸	𣩩󼣱	
㱹	􄖺󼣸	
㱺	􄖻󻓣	
㱻	􄖿􄗀􄖾􄖽􄗁	
㱼	􄗃	
㱽	𢻼	
㱾	𣪈􄗄	
㲀	􄗆	
㲁		
㲂		
㲃	𣪘𣪙􄗇	
㲅		
㲆		
㲉	𣪹𣫘𪄽𱈼𪇄󼃰󿗰􄗉	
㲋	𠜌㚟𣬋𤟭􄗎󲡡􄗏	
㲌		
㲍	􄗒	
㲏	𣬢	
㲓		
㲔	𣮭󻮙	
㲕	𰚛	
㲖	𣭱	
㲗	𰚜	
㲙	􄗔	
㲚	𣮅	
㲛		
㲝		
㲞	𰚡	
㲟	􄗚	
㲡		
㲢	􄗙	
㲤		
㲥	󰢲	
㲦	􄗜	
㲧	􄗟􄗞	
㲪	𣰆	
㲫	𩯱􄗥	
㲬		
㲯	􄗦􄗧	
㲰	𰚴	
㲲	𣮨𣯉𣰭𣰸𧟕	
㲳	𣱎	
㲴	𣱪𣱯	
㲸		
㲹		
㲺		
㲼		
㲽		
㳀		
㳁	汄	
㳆		
㳋		
㳌		
㳍		
㳎		
㳏	𣳪	
㳐	𣲞	
㳖		
㳗	󺎶􄗹	
㳘	􄗵	
㳚	􄗷	
㳛		
㳜		
㳞		
㳥		
㳦	𣸂	
㳧		
㳩		
㳪	𣳶	
㳫		
㳳		
㳴		
㳵		
㳶		
㳷	𣴵𣷤󴐯	
㳸	􄘂	
㳹		
㳻	󵡚	
㳼		
㳾	溬	
㴀	􄘁	
㴁		
㴂	𣼚󴏩	
㴄	󿋧	
㴈		
㴏		
㴐	󷋗	
㴒	湙	
㴓		
㴔		
㴗		
㴘		
㴙	􄘉󴏵	
㴚		
㴛	洷􄘇	
㴝		
㴥	𣹝𣺰􄘏	
㴦	􄘊	
㴧		
㴨		
㴪		
㴫		
㴬	𣽜	
㴭		
㴯		󴓗
㴰		
㴲	􄘔􄘓	
㴳		
㴵	淧㵥	
㴶	󴕂	
㴷		
㴸	㶒	
㴼		
㴽	㴮	
㴿		
㵀		
㵂	􄘖	
㵃		
㵅		
㵊		
㵋		
㵌		
㵍		
㵐	灍􄘧	
㵑		
㵒		
㵔		
㵖		
㵗	􄘫	
㵘		
㵝		
㵞	𣿜	
㵟		
㵠		
㵡		
㵢		
㵣	􄘲	
㵤	􄘰􄘯	
㵧	􄘶􄘷	
㵨		
㵩	􄘵󴔃󴓼󳋦	
㵪	󴖥	
㵫		
㵬	􄘺	
㵭		
㵮		
㵯		
㵴	𣻟󰠔􄘽􄘾	
㵵		
㵶	􄘼	
㵷		
㵹	􄙅	
㵺	𣴪渒𤀥	
㵻	𤁨􄙈􄙉	
㵽		
㵾	儬𩇟𫥝濪􄙍􄙌󴙀􃫅	
㵿		
㶀	􄙑	
㶁	􅥞	
㶄	𤅸	
㶆		
㶇	𦪗	
㶌	𭳝	
㶍	􄙧	
㶒		
㶓		
㶔	􄙭􄙮	
㶕	𤄒	
㶖	㶖􄙷􄙸	
㶗	𤀇瀪􄙳􄙲􄙴	
㶘		
㶛	𤄕	
㶞		
㶟		
㶠		
㶣	𬉶𤇇烎苂	
㶦		
㶧	􄚄	
㶬	𪸙	
㶮		
㶯		
㶰		
㶲		
㶴	𤈕	
㶹		
㶺		
㶼	􄚔	
㶿	𤉤𤊹𤏰𤍗𤎨𤏮􄚐􄚏󼉮	
㷂	􄚚	
㷃		
㷄		
㷅	𤈨焣	
㷆		
㷇	𡖨􄚜􄚛	
㷈		
㷋		
㷍		
㷏		
㷒		
㷕		
㷘		
㷟	煺𤍐	
㷡	煛	
㷣	𤏽	
㷤	󼎸	
㷫		
㷬	𦹪	
㷮	𤓗󼉫	
㷯		
㷰		
㷳	𤏚𤎝𤑤􄚴􄚵	
㷴	爏	
㷵	􄚭	
㷹	𦻐𤒽􄚰􄚯􄚮	
㷾	􄚺􄚹	
㷿	𰟩	
㸅	𤊵󼈨􅣇􅣆	
㸊	󼋭􄛈	
㸌		
㸍		
㸎	𣌍󼐇	
㸑	􀪨􀪩	
㸒		
㸓	𥄃	
㸖		
㸗		
㸙		
㸚		
㸛	牊􄛤	
㸜	𤗇	
㸝		
㸞		
㸟	􄛩	
㸡		
㸢	𤗌𤗩	
㸥	􅥝􅥜	
㸨		
㸩		
㸪		
㸭		
㸮		
㸯	􄛳	
㸰	牠㸱𧣖𧣟𧤓	
㸲		
㸳	𤜙	
㸵		
