正字	異体字	附録字
齨		
齪	𪘛龊𪘏齱𪘮󻛔	
齫		
齬	龉	
齭	𪘷𪙀齼	
齮	𡄘𱌡𪙴	
齯	𦦃􃾡󻛘	
齰	齚䶦𪙮	
齱	𪘸󰱒	
齲	𤘐䶚龋𪚌	𦔊𰨰
齳	齫𪘩𪙣	
齴	󾹸􃾣􃾢	
齵	𪙃	
齶	㗁腭𦠍𪘰𪘽􃾥􃾤󻽊	
齷	龌	
齸	􃾦	
齹	𪘠𪘡𪘓𪙉𪙐𪙸𪙼􃾪	
齺	𪘴𪙗	
齻	􃾨􃾧󾺠􃾩	
齽		
齾	𪙿𪚋􃾮􃾬􃾫􃾭󾺢	
龍	𠉒𠊋龙𢀀𢄫㡣𢅛竜𥪑𥪐𥪢𥫆𥫈𦱉𦱸靇䮾龒󳆰􂣷󾼆􂣴󳖒􂣱󻽨􂣭􂣨􂣸􂣯􂣺􂣵􂣹􂣶󳈰􂣦􂣮󹸑􂣧􂣪􂣩󽁭􂣲󶜥󻽯􂣬󰦩󽁴􂣫􂣳󻿀􂣰	󱽁󱾒􂣻
龏		
龐	厖𰆥龎庞䮾󿳘󿳙󿳕󿳖󿳔󿳗	
龑	䶮󽁢	
龒		
龓	𪚞	
龔	龚𭘐󽂀􂤀􂣽􂣾􂤁􂣿􂤂􂣼	􂤃
龕	龛𪚕𱍀􃾰􃾱􃾳􃾵􃾶􃾲􃾯􃾴	
龖	龘	
龗	𩆇𩆈靇𪚕𪚙󾕏	
龘		
龜	𠁴𠃾𤕣𧑴黾龟𬺞亀龜𬹝𪚦𪚨𪚧𪚿󰕾􂤿􂤇󲢥󲤭􂥃􂥁󷱣􂤩􂤐􂤗󲣡􂤋􂤙􂤔􂤤􂤾􂤆􂤞􂥈􂤖􂤳􂤻􂤅􂤏󲣳􂤨􂤽􂤓􂥆􂥇􂤹􂤦󲤃􂤮􂤰􂥄􂤢󲤂􂤕􂤄􂤉􂤑􂤒􂤣􂤯􂥀􂤚􂤡󲤕􂤍􂤌􂤎􂤧􂤫􂤸􂥉󲤛􂥋􂥊󲤝􂤬􂤵􂤥􂤷􂤜􂤝􂤟􂤱􂤼􂤘􂥌󲤬􂥅󴱥􂤛􂤲􂤠􂤶􂤴󲤰󰱗􂤺􂥍􂤈􂤭􂥂􂤪󶿅􂤊	󲤌􂥎􂥏􂥐􂥑􂥒􂥓􂥔􂥕
龠	𠋁𠎤􃾸􃾷	
龢	𥤉󷆭	
龣	觮𪛓􅢸􅢹􅢷󾺨􅢺	
龤	諧􃾹􃾺	
鿃		
𠀀		
𠀉		
𠀔	􃾻	
𠀢		
𠁁		
𠁃	𥤔	
𠁥		
𠁫	𰀧	
𠁭		
𠁷		
𠁾	㔿	
𠂄	􅥱􅥰	
𠂆		
𠂇		
𠂔	𪩲	
𠂣	㐆􃾿	
𠂤	㠯𫡆堆	
𠂥		
𠂹	𢏒󺽼􃿀	
𠃆		
𠃉		
𠃋		
𠃑		
𠃒		
𠃖		
𠃡		
𠃽		
𠄅		
𠄌	􃿂	
𠄍	𠂈	
𠄎		
𠄏	𢆳𢆴	
𠄑	𡳾	
𠄖		
𠄚	󾈅	
𠄭		
𠄮		
𠄱	􃿃	
𠅈		
𠅌		
𠅗		
𠅣	𡕬	
𠅬		
𠆁	󾼡	
𠆎	󰿃󲐛	
𠆩		
𠆲		
𠆵		
𠆶	𠇵	
𠆺	伭	
𠇋		
𠇐		
𠇗		
𠇘		
𠇱	佅	
𠈀		
𠈅		
𠈆		
𠈈	󰗢	
𠈊		
𠈋		
𠈌	􁦽󱺢	
𠈕		
𠈪	𠈖	
𠈬		
𠈭		
𠈰		
𠈱		
𠈵	􃿋	
𠈶	􃿌	
𠈸		
𠈹		
𠈺		
𠉢		
𠉣		
𠉤		
𠉧		
𠉩	􃡞	
𠉬		
𠉮		
𠉶		
𠊔		
𠊢		
𠊣		
𠊤		
𠊥		
𠊦		
𠊧	󱬧	
𠊫	󴺜	
𠊬	𠌋𠍠𠙆𧮭􃿖	㑢
𠊰	𠈕	
𠊲		
𠊵		
𠊶	􃡜	
𠊷	󱭍􃿓󱭎	
𠋖		
𠋝		
𠋟		
𠋡		
𠋧	􃿒	
𠋨		
𠋩	𮰁	
𠋬		
𠋯		
𠋰	󱰽	
𠋲		
𠋳	𠊾𨾎	
𠋴		
𠋵	𠊒􃡧󱭑	
𠋷	􃡩􃡨	
𠋸	𠋕𠌖􃿗􃡡	
𠋺	􃡦􃡥	
𠋻		
𠌉	𦴐	
𠌡		
𠌢	𠈻𠌋􃡪	
𠌪		
𠌬	徲	
𠌭		
𠌮	􃡫	
𠌰	􃿕􃿔	
𠌱		
𠌲		
𠌴	􃿘	
𠌾		
𠍀		
𠍨		
𠍩		
𠍪		
𠍫		
𠍯		
𠍱		
𠍲		
𠍵	􃿚	
𠍹		
𠎙		
𠎮	􃿝	
𠎳		
𠎶		
𠎷		
𠎸		
𠎿	􃿣	
𠏀		
𠏃		
𠏇		
𠏈	􃿤	
𠏖		
𠏢		
𠏤		
𠏧		
𠏨		
𠏩		
𠏫	􃿥	
𠏭	󱰿	
𠏮		
𠏰	󱰫	
𠏴	𠐑󱰐	
𠐀		
𠐆		
𠐉	􃿠􃿢􃿡	
𠐊	􃿩	
𠐋	􃿪	
𠐌		
𠐍		
𠐡		
𠐲		
𠐵		
𠐶		
𠐺		
𠐻	𠎾𰂹𠏯𨼭	
𠐼	􃿮	
𠐽		
𠐾		
𠐿	顭𩖎􃿰􃿯	
𠑄		
𠑅	􃿭􃿬	
𠑌		
𠑍	𠑚􅥾􅥽	
𠑑	𠐩󱱪󱲗	
𠑘	􅤜􂦐	
𠑙		
𠑛		
𠑟	𠐈􃿲􃿴􃿳	󱱆
𠑩		
𠑪	󱲸	
𠑯		
𠑲		
𠑹	𠒂𧟣	
𠒀		
𠒢	􃿸􃿷	
𠒵	􃿹	
𠒸		
𠒿		
𠓌	􃿺	􃿻
𠓗	䞯	
𠓜		
𠓝		
𠓤		
𠓧		
𠓪		
𠓫		
𠓭	𢞥	
𠓶	􃿽	
𠓷		
𠓽		
𠔂		
𠔆		
𠔌		
𠔕		
𠔠	􃿾	
𠔨		
𠔯	􃿿	
𠔶	􄀀󾼐	
𠔼		
𠕄		
𠕊		
𠕓		
𠕖	杲	
𠕟		
𠕠	晟	
𠕦	𦋢􄀆􄀅􄀄	
𠕧	􄀇	
𠕭	𠕥	
𠕳		
𠕻		
𠖄		
𠖓		
𠖟	􄥡	
𠖩	󲖕􄀋􄀍􄀌	
𠖫	􄀎	
𠖶		
𠖷	㓏	
𠖹		
𠗂		
𠗆		
𠗈		
𠗉	󲒑	
𠗊	󲒒	
𠗋		
𠗌		
𠗍		
𠗘		
𠗙		
𠗚	􄀑	
𠗛		
𠗝		
𠗥		
𠗨	𠗛󲒹󲒬	
𠗲	𣎎	
𠗳	󲓮	
𠗴	𠗙󲓋󲓣	
𠗵		
𠗶		
𠗺	𠗄𣻗	
𠗻	􄀓	
𠗼		
𠗽	􄀕	
𠗾	󱆋􄀔	
𠗿	󲓥󱿀󲓯	󲓷
𠘅	凚	
𠘆	𠘏󲓦󲓵	
𠘊	􄀘	
𠘋	􄀗	
𠘌		
𠘖	𤁩	
𠘘		
𠘝	󲔆	
𠘞	􄀙	
𠘟	󲔂􄀚	
𠘢	𠘇𠘒	󶙲
𠘣		
𠘥		
𠘧	几	
𠘱	㐱𢒁𢒀	
𠘳		
𠙈		
𠙶		
𠙺		
𠚆		
𠚘	𠚜𠥒𠚡􄀛􄨼	
𠚞		
𠚟		
𠚥	𰄚刟𠛪󱠴	
𠚧		
𠚨		
𠚭	󱠛	
𠚮		
𠚯		
𠚱		󲠟
𠚷		
𠚹		
𠚺		
𠚻	󱠤􄀞	
𠚼		
𠚽		
𠛀		
𠛃		
𠛎	𠚸	
𠛑	􄀟	
𠛒		
𠛓	󲠿􄀠	
𠛔	𠚷󱠭	
𠛕		
𠛖		
𠛘		
𠛙		
𠛚		
𠛥		
𠛦		
𠛨		
𠛩	􁇜	
𠛪	􄀣	
𠛫		
𠛮	􄀤	
𠛵		
𠛶		
𠛸		
𠛻		
𠜉	󱡆	
𠜐		󱡖
𠜑	󱡈	
𠜒	𠜥	
𠜖		
𠜘		
𠜙		
𠜦		
𠜱	𠞇􄀦	
𠜲		
𠜳		
𠜴	划	
𠜵	􃡴	
𠜹	􃡳􃡲	
𠜻	󱡣	
𠜼	𠞞󰱫􃡯	
𠝄		
𠝘		
𠝙	􄀥􃡱󱢽	
𠝚		
𠝛		
𠝝	䥷󱢟󶛇	
𠝞	𠜕􄀩􄀨	
𠝟	􄀪	
𠝠	𠝬􄀧	
𠝢		
𠝤		
𠝨	􃡶	
𠝩		
𠝪	󱣄	
𠝿	󱣭	
𠞀		
𠞃		
𠞄		
𠞅		
𠞆		
𠞈	𨨹	
𠞉	𠜒𠟫􃡷􃡸	
𠞊		
𠞎	𤉥	
𠞏		
𠞤	󱣔	
𠞧		
𠞩		
𠞪	􃡼􄀱	
𠞬	􄀰􃡺	
𠞭	𫦉􃡻	
𠞮	𰄾𦞛󺪀	
𠞯		
𠞱	󱣕	
𠞾		
𠞿		
𠟂	􃡽	
𠟃		
𠟅	箌	
𠟈		
𠟉		
𠟊	𠟖	
𠟋	󲢎􃡾􄀲	
𠟌	𦵿	
𠟍	𠝤	
𠟒		
𠟓		
𠟕	󱤄	
𠟗	􃢂	
𠟦		
𠟧		
𠟨	刢𠠢	
𠟩		
𠟪		
𠟰		
𠟺		
𠟼	􄀶󱤬	
𠠁	䥪	
𠠂	􃢊	
𠠃	𠟜㔐􃢉󲣯	
𠠄		
𠠋	󽾱	
𠠍		
𠠎	𠠛𠠰	
𠠏		
𠠐		
𠠗	􃢋󱤔􄀹􄀻􄀺	
𠠜		
𠠝	𠟄	
𠠠		
𠠪	􃢌	
𠠮		
𠠯		
𠠳		
𠠶	􄀽	
𠠷	󿁏	
𠠸	扐	
𠠹		
𠠻		
𠡁		
𠡃		
𠡄		
𠡑		
𠡒		
𠡔		
𠡞	􃢎	
𠡟		
𠡡	𠡹	
𠡢	𠡝󾽇	
𠡭	𪋾	
𠡮		
𠡯	𠡸	
𠡰		
𠡱	􄁃	
𠡻		
𠢅	𠢍󲦇􄁇	
𠢆		
𠢇		
𠢈		
𠢉	𠡾􄁆	
𠢓		
𠢔		
𠢕	􄀱	􄁉
𠢙		
𠢠	󲦾	
𠢡		
𠢢		
𠢣		
𠢤	𠢭憠􄁋	
𠢥	㔗	
𠢦		
𠢰		
𠢱		
𠢲	􄁎	
𠢳		
𠢴		
𠢷	􃠝	
𠢹	􄁐	
𠢺	𣜨𣙂	
𠣀	勥𠣃󺷂	
𠣄	􄁒􄁓	
𠣅		
𠣇		
𠣉		
𠣊	𠢻㔧𠣋󲧆􄁙􄁔󲧎􄁖􄁕􄁘􄁗󲧑	
𠣌		
𠣏		
𠣑		
𠣒		
𠣖		
𠣗		
𠣘		
𠣟	󲁵	
𠣤	𠣬𢞛􄁜	
𠣫		
𠣰		
𠣱		
𠣳		
𠣹		
𠣺	􄁢	
𠣾	𠣴𠣸𠤇􄁣󲂆􄁤󲂘󳼾	
𠣿	匓𠣽䬨	
𠤀		
𠤄	𠣮􄁥󰿛	
𠤊		
𠤏	𠦀􄁦󰖁	
𠤓		
𠤗	𠤑𠤕𠤘𠤜	
𠤫	􀙭	
𠤮		
𠤰		
𠤴	𠥁	
𠤹	􄁨	
𠤺	􄁩	
𠤼	𠥑󰱤	
𠤿	𠤾󰖧	
𠥁		
𠥉		
𠥌		
𠥐		
𠥖	􄁫󱠀	
𠥙	􄁬	
𠥜	􄁮􄁭	
𠥝	􄁯	
𠥞	􄁰	
𠥢		
𠥦	􄁱	
𠥮	㔷	
𠥰	𰅫	
𠥵		
𠥽		
𠥾	󵁋	
𠦈		
𠦌	卌	
𠦒	𠦆󱚛󵁎󲯣􁞴􄁴	
𠦘	𠦕􄁵	
𠦪	􄁶󵋞	
𠦫	𠦣	
𠦬		
𠧀		
𠧙		
𠧚		
𠧛		
𠧟	𠨅𰁐󰱥󾻛󱦘	
𠧩	􄁸􄁷	
𠧪	𠨋	
𠧫		
𠧵	􄁹	
𠨃		
𠨆	􄁺	
𠨍	夘	
𠨎	𠨖𠨓	
𠨘	󲗵	
𠨚	󲘄	
𠨠	󵈹􄁼	
𠨢		
𠨥		
𠨬		
𠨭	厈𠩀𡴈𩰋	
𠨲	𠩃屵󰯛	
𠨴		
𠨵		
𠨸		
𠨹		
𠨺		
𠨻		
𠩁	庝	
𠩃		
𠩎		
𠩏		
𠩗	𠩦𣢭	
𠩘	𫨆	
𠩩	󱝔􄁿􄂀󶠟􄁾	
𠩪	𠩆	
𠩫	􄂂􄂃	
𠩲	􄂁	
𠩺	𢿍󰖒󱝹	
𠩿		
𠪆	𰆣𰆢𰆡	
𠪇	𠩹􄂉	
𠪑		
𠪒		
𠪙		
𠪚	𠪘𠪔	
𠪟	𠩂󱞰	
𠪮		
𠪯		
𠪺		
𠫌	𣫧	
𠫓	㐬𡿮󶅠􄂋	
𠫨	𠫞	
𠫳	􄂍	
𠫿		
𠬆	𡮟	
𠬈	􄂎	
𠬓		
𠬛	𠬸󰘩	
𠬝	𠬩󲧜	
𠬢	𠬥㞵󳬠	
𠬣		
𠬦	𣲿􄂐	
𠬬	􄂑	
𠬮	𠬩	
𠬳		
𠭉		
𠭋		
𠭗	𠭘𠭮􄂒󵊩􄂓	
𠭘		
𠭝		
𠭥	󲨪	
𠭦		
𠭰	􄂗􄂖	
𠭴	㑁䂐𥏞􄂕󲩉􄂔󰷉	
𠭿		
𠮃		
𠮄	󲩉	
𠮆		
𠮊		
𠮐	𦦖𠮌􄂘􄂙	
𠮖		
𠮙		
𠮜		
𠮠		
𠮫	𠮬	
𠮭		
𠮯	􄂛󴶢	
𠮰		
𠮳		
𠮴		
𠮵		
𠯈		
𠯋	󳙕	
𠯐		
𠯑	𠮮㕲𤯁舌󰐦	
𠯓		
𠯔	𠰊	
𠯖		
𠯗	𠴴𠶴􄂜	
𠯘		
𠯙	𠯬	
𠯛		
𠯜		
𠯝		
𠯡		
𠯶	󹮮	
𠰄		
𠰅		
𠰈	􄂞	
𠰉		
𠰋	􄂠	
𠰌		
𠰍		
𠰏		
𠰐		
𠰑		
𠰒		
𠰓	咊啝	
𠰕		
𠰖		
𠰘		
𠰙		
𠰚		
𠰛		
𠰜	𠱫	
𠰝		
𠰡	􄂡	
𠰲		
𠰶		
𠱐	󺖱􄂤	
𠱑		
𠱒		
𠱓		
𠱔		
𠱕		
𠱘	𠸺􄂢	
𠱙	𠴫	
𠱚	咔𧧎	
𠱛		
𠱜	喗	
𠱝	󰸌	
𠱞		
𠱟	􄂦􄂧	
𠱠		
𠱡	𭇒𠵡􄂥󳝝	
𠱢		
𠱣		
𠱤		
𠱥	囐􄂣	
𠱨	𠯎𠲫𠽤􅢽	
𠱫	𠲗𥩭𥩮󽀹	
𠱮		
𠱲		
𠱳		
𠲋	𠲿	
𠲌	㖅	
𠲎		
𠲏		
𠲗		
𠲩		
𠲪		
𠲮		
𠲱		
𠲳		
𠲴		
𠲵		󳛜
𠲶		
𠲷	㖩	
𠲸		
𠲹	􄂭	
𠲺	􄂬	
𠲻	听	
𠲼		
𠲽		
𠲾		
𠲿		
𠳁		
𠳂		
𠳃		
𠳄		
𠳇		
𠳉		
𠳊		
𠳋	𨺫󽞣	
𠳌		
𠳍		
𠳎		
𠳯		
𠳰	𠲊	
𠳱		
𠳷		
𠳸		
𠳹		
𠳺		
𠳻		
𠴃		
𠴡		
𠴢		
𠴣		
𠴦		
𠴧		
𠴨	𠶽	
𠴭	唽	
𠴮		
𠴯		
𠴰		
𠴱		
𠴳		
𠴵		
𠴶	􄂶􄂷	
𠴷	􄂴	
𠴸		
𠴹		
𠴺		
𠴻		
𠴼		
𠵂		
𠵃		
𠵑	𠴁󿼿	
𠵠		
𠵢		
𠵪		
𠵰		
𠵵		
𠵹		
𠶧		
𠶨	􄂵	
𠶩		
𠶪	􄂱􄂰	
𠶫	􄂯	
𠶬		
𠶰	奝	
𠶱		
𠶴		
𠶵		
𠶷	訲	
𠶸	􄃀	
𠶻		
𠶾		
𠷀		
𠷁		
𠷂		
𠷃	􄂸	
𠷄	𠶲	
𠷅		
𠷆		
𠷇		
𠷈	哷𠻜􄃁	
𠷉	𨔗	
𠷊		
𠷋	􄂽	
𠷌		
𠷍	󳟾	
𠷏		
𠷑	㗶􄂾	
𠷒		
𠷓	􄃂	
𠷖	󳝸	
𠷚		
𠷞		
𠷟		
𠷸		
𠷻		
𠷼	󳝅	
𠷽	󳡅􄂿	
𠷾	𠷙	
𠸭		
𠸮		
𠸱		
𠸲		
𠸳		
𠸷		
𠸸	􄃇	
𠸹	㖪喐	
𠸻	􄂻	
𠹀		
𠹁		
𠹃	𧪪	
𠹆		
𠹇	𧪫	
𠹊	􄃉	
𠹋		
𠹌		
𠹍	𠳀𠺀	
𠹐		
𠹑		
𠹓		
𠹔		
𠹕	􄃊	
𠹖		
𠹘		
𠹚	󳠈	
𠹛		
𠹢	􄃋	
𠹤		
𠹥		
𠹦	㗪	
𠻌		
𠻍		
𠻎		
𠻏		
𠻐		
𠻗		󳡥
𠻜		
𠻞		
𠻟		
𠻠		
𠻡	􄃕	
𠻤		
𠻥		
𠻦	􄃔󳡖	
𠻧		
𠻨		
𠻪		
𠻫		
𠻬		
𠻱		
𠼘		
𠼚		
𠼞		
𠼟		
𠽜		
𠽝		
𠽣		
𠽦		
𠽩		
𠽪		
𠽫	􄃘	
𠽭	𠽯𠽮	
𠽰		
𠽲	𠽳𡂑􃢒	
𠽵	𡁄􃢓􃢔	
𠽶		
𠽹		
𠽻		
𠽼		
𠽾		
𠾀		
𠾉	𠭵𠷎𠼡󰋄󵁂	
𠾌		
𠾗		
𠾥		
𠿅		
𠿆		
𠿈		
𠿉		
𠿋	􄃟􃢙	
𠿎	𡁑	
𠿏		
𠿑		
𠿓	𧬩	
𠿔	􄃞	
𠿕	𠿻𡁗𡰑𡰘髚󿂄	􄃠
𠿖		
𠿗		
𠿛	􄃜	
𠿝		
𠿞	𡅹􃢕	
𠿟		
𠿠	𡅺	
𠿡		
𠿣		
𠿤	􃢖	
𠿺		
𡀺	󳦺	
𡀼	𡁊	
𡀿	􃢠	
𡁁	𡁍􄃡󳧫	
𡁆		
𡁇		
𡁈	𡅼	
𡁉	𡂣	
𡁋		
𡁌		
𡁎		
𡁓	𧭌	
𡁕		
𡂊		
𡂋		
𡂏	𡅘􃢧􃢦􃢨	􄃩
𡂒	𡀹䜠󾑔	
𡂓		
𡂕	􃢢	
𡂖	𡃤􅢾􃤵󳨕	
𡂗		
𡂙	𡁂	
𡂚		
𡂛	𡆏􃢣󳩽􄃨􄃧	
𡂜	􄃦	
𡂟		
𡂡	􃢤	
𡂣	𡁉	
𡂩	𡁓	
𡃝		
𡃡		
𡃢	􃢟􃢞	
𡃦		
𡃧		
𡃩	􄃪	
𡃷		
𡄑		
𡄒	𥗚	
𡄓		
𡄔		
𡄕		
𡄣		
𡄲		
𡄳	􃢫󳧅	
𡄴		
𡄵		
𡄷	𠱣􄃯	
𡄹		
𡄻		
𡅁	𡅓􃢪	
𡅙	􄃰	
𡅭	󳩌	
𡅹	􃢬􄃵􄃴	
𡅺	􄃶	
𡅻	𡅱𡅽󳩫􄃷󵛖	
𡆅		
𡆆	􄃸	􄃹
𡆣		
𡆩	𡇘	
𡆳		
𡇈	𡇵	
𡇑		
𡇒		
𡇓		
𡇖		
𡇠		
𡇤		
𡇰	􄃺	
𡇱	𡈔	
𡇳		
𡇶		
𡇷		
𡇼	􄃼	
𡇿		
𡈀		
𡈉	􄃻	
𡈊		
𡈌		
𡈏		
𡈗	􄃿	
𡈳	𡈢􄄀	
𡈼	𡔛􄄁󺫮	
𡈾		
𡉷		
𡊀		
𡊁		
𡊂		
𡊃		
𡊄	𠬁𡊯𡊅𡍊𡏰𤲲𡓴𢍨拚𢷥𢹔𣀲􄄅􄄆􄄃󰙦􄄇􄄄	
𡊉	𫭥	
𡊍		
𡊵		
𡊶		
𡊸	󴪴	
𡊹		
𡊻	𡎗	
𡊼	󲯧􄄉	
𡋧		
𡋨		
𡋩		
𡋪		
𡋫	𡊧	
𡋬		
𡋭		
𡋯	𡍧	
𡌘		
𡌤		
𡌥		
𡌦	𩇭	
𡌩	塔	
𡌪	𡖪㷇	
𡌭	㙍	
𡌯		
𡌲		
𡍊		
𡍠		
𡍡		
𡍦	堚	
𡍨	𢾅	
𡍪	󰙏	
𡍫		
𡍲		
𡍵		
𡍶	􄄛	
𡍻	󲯺􄄚	
𡎧	􄄖	
𡎨		
𡎪		
𡎫		
𡎬		
𡎮		
𡎳		
𡎴		
𡎷	㲄	
𡎹		
𡎺	􄄢	
𡎻		
𡎾		
𡎿		
𡏀		
𡏁	􄄠	
𡏩		
𡏪		
𡏫		
𡏭	􄄧	
𡏮	􄄦	
𡏯		
𡏱		
𡏵		
𡏷	𡑎	
𡐔	璌	
𡐝		
𡐞	󲷄	
𡐠	󲴌	
𡐤	􄄭􄄬	
𡐥		
𡐰	壢	
𡐱		
𡑈	𡼻	
𡑘		
𡑙		
𡑚		
𡑜		
𡑡	􄄰	
𡑶	􄄲	
𡑸		
𡑹		
𡒈	𡑣	
𡒊	􄄺	
𡒌		
𡒓	􄄷	
𡒯	󲶧􄄹	
𡒱		
𡒳	􄄼	
𡓉	􄄻	
𡓊		
𡓍	􄄾􄄽	
𡓒	􄄿􄅀	
𡓦	􄅃􄅄	
𡓰	㚀	
𡓲	􄅅	
𡓸		
𡓿		
𡔁		
𡔇	􄅆	
𡔉	𡔓	
𡔕	𡎴􄅇	
𡔗		
𡔢	𡔣𧦂𨖰􄅉	
𡔨	􁎥	
𡕒	㐄󰑵	
𡕠	𡖆󲭸	
𡕡		
𡕢	𡕫𡕩􄅌􄅋	
𡕧	𡕬	
𡕪	􄅍󴅖	
𡕮		
𡕶	𦶨	
𡖑		
𡖒		
𡖓	󴃡	
𡖔	𡖝𡖭􄅎	
𡖜		
𡖞		
𡖢		
𡖣	󴃽	
𡖤		
𡖪	𡖠	
𡖫		
𡖬		
𡖭		
𡖯		
𡖲		
𡖳	󴃹	
𡖶	𡠜	
𡖽	𡖻	
𡖾	夡𪀩	
𡗀		
𡗁	􄅒􄅐􄅑	
𡗆	􄅓	
𡗈		
𡗜		
𡗞		
𡗥	󾾺󾿃	
𡗦	𡗟	𡗲􄅗
𡗷	𡘎	
𡗸		
𡗹		
𡗼	𡘌	
𡘌	𡗼	
𡘍	𡘟􄅚	
𡘎		
𡘏		
𡘐	㚛𡙄	
𡘝		
𡘢		
𡘣		
𡘰		
𡘲		
𡘴	􄅜􄅛󾿱	
𡙄		
𡙐	𡙋𥆗𧡩	
𡙖		
𡙗		
𡙘		
𡙠	𡙛󰱰	
𡙨	􄅝	
𡙩		
𡙪		
𡙬		
𡙭		
𡙮	𢧜𢧤􄅟󻖒	
𡙶		
𡙷	􄅠	
𡙽		
𡚅	󿀮	
𡚇	𡙷􄅤	
𡚊	𧃦𩁂	𡚜
𡚑		
𡚗		
𡚛	􄅥	
𡚠	􄅦	
𡚨		
𡚰	奺󴻱󴻲	
𡚸		
𡚹	􄅧	
𡚻		
𡚽	侴妞𡥆	
𡚾		
𡛖	㛂𡜮	
𡛗		
𡛘		
𡛙	󵋔	
𡛜		
𡛝	𡛒㛑𡦞󻒃􃈁􄅫􄅬	
𡛞		
𡛟		
𡛠		
𡛡		
𡛽		
𡛾		
𡜀		
𡜁		
𡜂	𡜡𡞠	
𡜃	􄅮	
𡜇		
𡜉		
𡜊		
𡜋	󴼶	
𡜏	󴽀	
𡜥	𡟴	
𡜦		
𡜧		
𡜨		
𡜫	􄅯	
𡜬		
𡜯		
𡜱	􄅷􄅸	
𡜲		
𡜳		
𡜵		
𡝍		
𡝙	𡝐	
𡝚		
𡝛	􂭌	
𡝜		
𡝝		
𡝢		
𡝦		
𡝧		
𡝫		
𡞘		
𡞙		
𡞚		
𡞛		
𡞜	媨	
𡞞		
𡞟		
𡞢	娔	
𡞣	􄆖	
𡞧	􄆐	
𡞪	􄆑	
𡞫		
𡞬	𡝢􄆔	
𡞭		
𡞮		
𡞯		
𡟑	𡞥􄆒	
𡟕		
𡟝		
𡟞	􄆓	
𡟟		
𡟠	􄆌􄆋	
𡟡	󴾈	
𡟢		
𡟣	􄆊	
𡟤	􄆍	
𡟥		
𡟨	􄆨	
𡟩		
𡟪	𡠋	
𡟫		
𡟭		
𡟯		
𡟰	􄆘􄆚􄆙	
𡟴		
𡟷	󺐛	
𡠑		
𡠒	󴿀	
𡠓		
𡠙		
𡠚	􄆵􄆶	
𡠞		
𡠥	𡠤􄆽󺺃	
𡠦	𡠗𡡘𡢂𡣼􄆺􄆻	
𡠧	􄆼	𡢁
𡠽	摵	
𡡂	􄆩􄆪	
𡡈		
𡡉		
𡡊		
𡡌	󴿉	
𡡏		
𡡐	󶪃􄇈	
𡡑	􄇁	
𡡒		
𡡔		
𡡕	𡜆㜧	
𡡖	󺺾	
𡡗		
𡡙		
𡡥	𡞮	
𡡨	𡢌󰲅􃫦	
𡢆		
𡢇	𡠇	
𡢈	􄇉	
𡢊	􄇇	
𡢑		
𡢒		
𡢕	𡢶𡢝􄇏	
𡢖		
𡢚	󴿢󴿻	
𡢜		
𡢱	𡣋	
𡣀	䧪􄇎	
𡣁		
𡣂		
𡣈		
𡣋		
𡣏		
𡣔	𡡽𡣤􄇛􄇜󺺍􄇝	
𡣪	󺺲	
𡣫	􄇞	
𡣮	􄇠􄇟	
𡣯		
𡣽	􄇢	
𡣾	􄇣	
𡤋	􄇥	
𡤌		
𡤒	󺺿	
𡤖		
𡤗		
𡤙		
𡤛		
𡤢		
𡤫		
𡤶		
𡤺		
𡤿		
𡥈	𠭂􃢯	
𡥉		
𡥍		
𡥎		
𡥩		
𡥭	󲗹	
𡥶		
𡥹	􄇪􄇫􄇬	
𡦃		
𡦄		
𡦆		
𡦎		
𡦏		
𡦕		
𡦝		
𡦢	󴻃	𭓜
𡦵	𡦳𡦭𡦴𡦱󴻈	𡦲
𡦼		
𡧍	𡧂𡧎𥤵	
𡧖	𡧰宲𢉣󰛡􄇮􄇯	
𡧗		
𡧙	󰛝	
𡧩		
𡧬	𡧽􄇰󴢾󴢝	
𡧭	𢈌	
𡨀		
𡨂		
𡨃		
𡨄		
𡨅		
𡨊	󴡸	
𡨟		
𡨠		
𡨢		
𡨣		
𡨩		
𡨻		
𡨽	𨵥􄇲	
𡨿		
𡩂		
𡩃	󴤴󴤳	
𡩄		
𡩆	󴣎	
𡩇	􄇵􄇴󴤚􄇳	
𡩡	􄇻	
𡩣		
𡩥		
𡩩	􄇼	
𡩽		
𡩾		
𡪁	󴧝	
𡪅	𡪉	
𡪗	󰩚	
𡪠	􄇾	
𡪺		
𡪽		
𡫀		
𡫁		
𡫂	󴧢	
𡫃	􄈀􄈁	
𡫔	𡫧	
𡫝	􄈂	
𡫟	𡫳􄈃	
𡫬	𥨼𥩁󴨥􄈉󽄳󰳜􄈈	
𡫯		
𡫽	𡬊󴨸􄈊􄈋	
𡬁	𡬃	
𡬄	􄈍	
𡬅	󴩐	
𡬇	􄈌	
𡬌	𡬆􄈎	
𡬍	􄈏	
𡬓	󶮹	
𡬖	𡪶󴩉􄈐	
𡬘	𦒨𡬘􄈑	
𡬙	􄈒􄈓	
𡬧		
𡬳		
𡭂	󰲠	
𡭋	􃾽	
𡭐	𠃃𠪻𡭍󵁪􄈗􄈕􄈖􄈔	
𡭚		
𡭞		
𡭥		
𡭳		
𡭴	𡮂𡭽󳗮	
𡭾	𡮑	
𡭿		
𡮙		
𡮞		
𡮦		
