親字	旧字	異体字
泥		埿
泰		㤗冭𣳾
洄		𭰁
津		𣸁
活		𣴠
流	流	㳅
浄	淨	净
浅	淺	
浙		淛
浜	濱浜	濵
浣		澣
浩	浩	澔
海	海	
浸		寖𣹦濅
浹		浃
涂		凃
涅		𣵀
涓		㳙
涙	淚	泪
涵		𣹢
涼		凉
淬		㳃
深		㴱
淳		湻
淵		渊渕
添		𣷹沗
清	淸	
渇	渴	
済	濟	
渉	涉	
渋	澁	澀
渓	溪	
渚	渚	
減		减
温	溫	
游		㳺
湾	灣	
湿	濕	溼
満	滿	
準		凖
溜		澑
溲		𣸈
滂		霶
滋	滋	𦱳
滎		濚
滔		㴞
滝	瀧	
滞	滯	
滲		渗涁
滾		滚
漆		㯃柒
漏		屚
漕		𤅍
漢	漢	
潑		溌
潔		洯
潜	潛	濳
潨		灇潀
潮	潮	
潸		澘
澄		澂
澗		礀㵎
濁		浊
濤		涛
濬		𣽊
濾		沪
瀆		涜
瀉		泻
瀏		嚠
瀞		瀞瀞
瀦		潴
瀬	瀨	
瀰		㳽
灌		潅
灑		𤂢
灝		𤂖
灞		㶚
灩		灔灎
灯	灯燈	
灰		𤆆
災		灾烖
炉	爐	
炯		烱
炱		炲
点	點	
為	爲	
烽		熢㷭
焚		燓
焰		熖㷔燄焔
焼	燒	
煙		𤇆烟
煢		㷀
煮	煮	煑
熏		燻
熙	煕	凞焈熈凞
熟		𤎼
熱		热
燮		爕
燼		㶳烬
爛		爤燗
爵	爵	𩰦𣝣
爺		𤕓
爾		尒尓
牆		墻
牖		牗
牢		窂
犂		犁
犠	犧	
犢		㸿
状	狀	
狉		豾
狗		㺃
独	獨	
狭	狹	
狸		貍
狻		䝜
猊		貎
猗		䝝
猟	獵	𤢪
猪	猪	䐗豬
猫		貓
献	獻	
猴		㺅
猶		犹
猿		𫞤猨
獄		𡈭
獏		貘
獠		䝤
獣	獸	
獮		𤣐
獲		𤟱
獺		㺚
玞		砆
玨		珏
珉		䃉瑉玟
珍		𤤽珎
班		𤤻
琅		瑯
琢	琢	
琴		琹珡
琺		珐
瑁		蝐
瑇		玳
瑠		璢
瑣		𤨏
瑰		瓌
瑶	瑤	
璃		瓈
璇		璿
瓊		琁
瓔		珱
瓚		瓉
瓦		𤬦
瓶	甁	缾缾
瓷		𦈱甆
瓺		𤭖
甌		瓯
甑		䰝
甕		罋
甜		甛
産	產	
甦		𤯳
町		甼
画	畫	畵𤰱
畀		畁
界		𨺬畍堺
畎		𤰝甽
留		畄畱
畚		𠫻
畝		畮畞畒畆𤰖㽗
略		畧
畬		畲畭
異	異	
畳	疊	疉疂
疆		疅壃畺
疇		畴
疎		踈
疏		䟽
疐		𤴡
疹		𤺋
痀		𤹪
痩	瘦	膄𤸃
痴	癡	
痾		疴
瘁		疩
瘞		𨻊
瘤		癅
瘻		瘘
癰		癕臃
発	發	
皁		皂梍
的		旳
皎		晈
皐		臯皋
皓		皜
皖		晥
皚		溰
皞		暭暤皥皡
皰		靤
皸		皹
盂		𥁄𥁄
益	益	
