親字	旧字	本字	古字	別体	俗字	誤字
坊						
坌				坋		
坍						
坎				埳		
坏				阫	坯	
坐					㘴	
坑		阬				
坡						
坤						
坦						
坨						
坩						
坪						
坫						
坰						
坳						
坴						
坷						
坻						
坼		𡍩				
坿						
垂					埀	
垈						
垉						
型						
垓				畡		
垗						
垚						
垜				垛𭩥		
垝				陒		
垞						
垠		𡋳				
垢						
垣						
垤						
垪						
垬						
垰						
垳						
垸						
埃						
埇						
埈						
埋		薶				
埌						
城	城					
埏						
埒					埓	
埔						
埖						
域						
埠					埗	
埣					𡉻	
埤				壀		
埦						
埭						
埰						
埴						
埵						
埶						
執						
埸						
培						
基						
埻						
埼					𫮍	
堀						
堂						
堄						
堅						
堆		𠂤				
堇		𡏳			𦰌	
堉						
堊						
堋						
堕	墮	隓		𡐦	墯	
堙						
堝						
堞						
堠						
堡				堢		
堤				䧑隄	埞	
堧						
堪						
堭						
堯					尭	
堰		隁				
報						
堲						
場					塲	
堵						
堹						
塀	塀					
塁	壘			畾		
塉						
塊				墤		
塋						
塌						
塏						
塑						
塒						
塔						
塗						
塘						
塙						
塚	塚					
塞						
塡					填	
塧						
塩	鹽				𦣪	
塰						
塵						
塹				壍𡐛		
塼						
塾						
塿						
墀						
墁				㙢		
境						
墅						
墉						
墊						
墋						
墍				𡏲		
墏						
墐						
墓						
墔						
増	增					
墜						
墟						
墠						
墦						
墨	墨					
墩				墪		
墱						
墳	墳					
墹						
墺						
墾						
壁						
壅				㙲		
壇						
壊	壞					
壌	壤					
壎				塤		
壏						
壑		㕡				
壒						
壔						
壕						
壗					𡋤	
壙						
壚					𡉴	
壜				罎		
壟				壠		
壢						
壩						
士						
壬						
壮	壯					
声	聲					
壱	壹					
売	賣					
壴						
壺				壷		
壼						
夂						
夆						
変	變	𣀵				
夊						
夋						
夌						
夏						
夕						
外						
夙						
多					夛	
夜						
夢		㝱			夣梦	
夤						
夥						
大						
天						
太						
夫						
夬						
夭						
央						
夰						
失						
夷						
夸						
夽						
夾						
奄						
奆						
奇					竒	
奈		柰			㮈	
奉						
奎						
奏						
奐						
契	契					
奓						
奔	奔	𢍃				
奕						
套						
奘					弉	
奚						
奛						
奝						
奟						
奠						
奡						
奢						
奥	奧					
奨	奬		獎	㢡		
奪						
奭						
奮						
女						
奴						
奵						
奶				嬭		
奸						
奼				姹		
好						
妁						
如						
妃						
妄						
妊				姙		
妋						
妓						
妖		𡝩				
妙				玅		
妝				娤𡝂		
妟						
妣						
妤						
妥						
妨						
妬				妒		
妮						
妲						
妹						
妺						
妻						
妼						
妾						
姁						
姃						
姆						
姈						
姉		姊				
始						
姍				姗		
姐						
姑						
姒						
姓						
委						
姚						
姜						
姝						
姞						
姣						
姤						
姥						
姦				姧		
姨						
姪					侄	
姫	姬					
姮					嫦	
姱						
姶						
姸					妍	
姻				婣		
姿						
娀						
威						
娃						
娉						
娌						
娍						
娑						
娓						
娗						
娘						
娙						
娚						
娜						
娟					姢	
娠						
娣						
娥						
娧						
娩						
娯	娛					
娵						
娶						
娼						
婀		妸		娿		
婁					娄𡝤	
婆		媻				
婉						
婕						
婗						
婘						
婚					㛰	
婢						
婥						
婦					媍	
婧						
婬						
婭						
婷						
婺						
婾						
婿				壻	聟	
媄						
媋						
媒						
媚						
媛						
媜						
媞						
媟						
媠		嫷				
媢						
媧						
媱						
媳						
媵				𠊶		
媺						
媼					媪	
媽						
媾						
嫁						
嫂		㛮			㛐	
嫄						
嫉		㑵				
嫋						
嫌						
嫖						
嫗						
嫚						
嫜						
嫟						
嫠						
嫡						
嫣						
嫥						
嫩		媆			嫰	
嫫		𡠜				
嫮						
嫵				娬		
嫺				嫻	𡢃	
嬀						
嬈						
嬉				娭		
嬋						
嬌						
嬖						
嬗						
嬙						
嬛						
嬢	孃					
嬥						
嬪						
嬬						
嬰						
嬲				嫐		
嬴						
嬶						
嬾					嬾	
孀						
孁						
孅						
孋						
孌						
子			㜽			
孑						
孒						
孔						
孕						
孖						
字						
存						
孚						
孛						
孜						
孝						
孟						
季						
孤						
孥						
学	學	斅			斈𫝯	
孨						
孩						
孫						
孰						
孱						
孵						
孶					孳	
孺					𡦘	
孼					孽	
孿						
宀						
宁						
它						
宄						
宅			㡯			
宇			㝢		𡧃	
守				垨		
安						
宋						
完						
宏						
宓						
宕						
宖						
宗						
官						
宙						
定						
宛						
宜		宐		冝		
宝	寶				寳	
実	實					
客						
宣						
室						
宥						
宦						
宬						
宮						
宰						
害						
宴						
宵						
家						
宸						
容						
宿		㝛				
寀						
寂						
寄						
寅						
密						
寇					冦𡨥	
富					冨	
寎						
寐						
寒						
寓				庽		
寔						
寘						
寛	寬					
寝	寢					
寞						
察						
寠				窶		
寡						
寤						
寥						
寧	寧	寍		甯		寗𫝱
寨						
審		宷				
寮						
寰						
寱				䆿		
寵						
寸						
寺						
寽						
対	對				对	
寿	壽	𦓆			夀	
封						
専	專					
尃						
射						
将	將					
尉						
尊						
尋					𡬶	
尌						
導						
小						
少						
尖						
尚	尙					
尠		尟				
尢				尣		
尤						
尨						
尩			𡯪		尪尫	
尰						
就						
尸		𡰣				
尹						
尺						
尻				㞍		
尼						
尽	盡				𥁞	
尾						
尿						
局						
屁				𥧔		
居						
屈						
届	屆					
屋						
屍						
屎				𡱁		
屐						
屑						
展						
屛					屏	
属	屬					
屟				屧		
屠						
屢					屡	
屣		蹝				
層	層					
履						
屨						
屩						
屭					屓	
屮						
屯						
屰						
山						
屶						
屹						
屺						
屼						
岊						
岌						
岏						
岐						
岑						
岔						
岝						
岟						
岠						
岡				堽	崗	
岢						
岣						
岦						
岧						
岨						
岩				嵒	嵓	
岪				𡶒		
岫						
岬						
岭				岺		
岱						
岳	岳嶽					
岵						
岶						
岷						
岸				㟁𡶜		
岻						
岼						
岾						
峅						
峇						
峉						
峋						
峐						
峒						
峙						
峠						
峡	峽					
峨				峩		
峪						
峭				陗		
峰		峯				
峴						
島		㠀		嶋嶌嶹隝隯	陦	
峺						
峻						
崆						
崇						
崋						
崍						
崎		陭		㟢	嵜﨑	
崑				崐		
崒						
崔						
崖				崕		
崙				崘		
崚				𡹃		
崛				崫		
崟						
崠						
崢				崝		
崤						
崦						
崩						
崱						
崴						
崹						
崿				㟧		
嵁						
嵂						
嵆					嵇	
嵊						
嵋						
嵌				篏		
嵎						
嵐						
嵡						
嵩				崧		
嵪						
嵬				㟴		
嵭						
嵯				嵳		
嵰						
嵶						
嶁						
嶂						
嶄				嶃		
嶇						
嶈						
嶐						
嶒						
嶔						
嶕						
嶗						
嶙						
嶝						
嶠						
嶢				嶤	𡸳	
嶧					𡵸	
嶬				㠖		
嶮					𡸴	
嶰						
嶴						
嶷						
嶸				峵𡵓		
嶺						
嶼						
巇						
巉						
巋						
巍						
巑						
巒						
巓						
巖				巗	巌	
巘						
川		巛				
州						
巠						
巡						
巣	巢					
巤						
工						
左					㔫	
巧						
巨						
巩						
巫						
差						
己						
已						
巳						
巴						
巷				衖		
巹		𧯷		卺𢀾		
巻	卷					
巾						
巿						
帀					匝迊	
市						
布						
帆			𩗋	㠶䑺颿		
希				𢁫		
帑				伖		
帓						
帔						
帕				絈		
帖						
帘						
帙						
帛						
帝						
帞						
帟						
帥						
帨						
師					师	
席						
帯	帶					
帰	歸		㱕		皈	
帳						
帷						
常						
帽					㡌	
帾						
幀						
幃						
幄				𧛐		
幅						
幉						
幌						
幎						
幔					㡢	
幕				幙		
幖						
幗						
幘						
幞				襆		
幟						
幡						
幢						
幣				幤		
幪						
幫					帮幇幚	
幬				𢃖		
幭						
幮				㡡		
干						
平						
年		秊				
幵						
幷					并	
幸			𠂷			
幹		榦				
幺					么	
幻						
幼				𢆲		
幽						
幾						
广						
庀						
庁	廳				廰	
広	廣					
庄						
庇						
床						
庋						
序						
底						
庖						
店						
庚						
府						
庠						
庥						
度						
座					𫝷	
庪						
庫						
庭						
庵						
庶					庻	
康						
庸						
庹						
庾						
廁					厠	
廂						
廃	廢					
廆						
廈					厦	
廉	廉					
廊	廊					
廋						
廌						
廏				廐	厩	
廒						
廓						
廕						
廖						
廚				㕑	厨	
廛					㙻鄽	
廝					厮	
廞						
廟			庿		庙	
廠					厰	
廡						
廥						
廨					𪠘	
廩		㐭			廪	
廬						
廱						
廴						
延						
廷						
建						
廻				𢌞	廽	
廾						
廿					卄	
开						
弁	弁瓣辨辯	辧				
异						
弄					挊挵	
弇				揜		
弈						
弊		獘				
弋						
式						
弐	貳				貮	
弑		弒				
弓						
弔						
引						
弖						
弗						
弘						
弛				㢮		
弜						
弝						
弞						
弟						
弢						
弣						
弥	彌	㣆				
弦						
弧						
弩						
弭				𢏱		
弰						
弱		𢐅				
弴						
張						
弶						
強				强		
弸						
弼		𢐀		弻𢐡		
弾	彈					
彀						
彅					𦿶	
彇						
彊						
彍		彉				
彎					弯	
彑				彐		
当	當					
彔					录	
彖						
彗						
彘						
彙		𢑷		彚		
彝					彜	
彡						
形		形	𢒈			
彣						
彤						
彥					彦	
彧						
彩						
彪						
彫	彫					
彬						
彭						
彰						
影						
彳						
彴				仢		
彷						
役						
彼						
彽						
彾						
彿						
往		𢔎			徃	
征				𨒌		
徂				䢐		
径	徑			逕	迳	
待						
徇		𢓈		侚	狥	
很				佷		
徉						
徊						
律						
後						
徐						
徒		𨑒				
従	從	从				
得		𢔶				
徘						
徙		𨑭				
徜						
御			𢕜			
徢						
徨				偟		
復						
循						
