親字	旧字	正字	本字	同字	古字	簡易	俗字
姪							侄
姫	姬						
姮							
姯							
姱							
姲							
姴							
姶							
姷							
姸							妍
姻					婣		
姿							
娀							
威							
娃							
娉							
娌							
娍							
娎							
娑							
娒							
娓							
娗							
娘							
娜							
娞							
娟							姢
娠							
娣							
娥							
娧							
娨							
娩							
娪							
娭							
娯	娛						
娵							
娶							
娼							
婀				娿			
婁							娄
婄							
婅							
婆							
婇							
婈							
婉							
婌							
婐							
婕							
婚				㛰			
婞							
婢							
婥							
婦				媍			
婧							
婪							
婬							
婭							
婷							
婺							
婻							
婾							
婿	壻						聟
媄							
媋							
媐							
媒							
媓							
媖							
媙							
媚							
媛							
媜							
媞							
媟							
媠							
媢							
媧							
媬							
媱							
媲							
媳							
媵							
媸							
媺							
媻							
媼				媪			
媽							
媾							
嫁							
嫂			㛮				
嫄							
嫆							
嫈							
嫉							
嫋							嬝
嫌							
嫏							
嫐							娚
嫖							
嫗							
嫚							
嫜							
嫠							
嫡							
嫣							
嫥							
嫦							
嫩							嫰
嫪							
嫫				𡠜			
嫭							
嫮							
嫵							
嫶							
嫺				嫻			
嫽							
嬀							
嬁							
嬃							
嬈							
嬉							
嬋							
嬌							
嬖							
嬗							
嬙							
嬛							
嬡							
嬢	孃						
嬥							
嬪							
嬬							
嬭							奶妳
嬰							
嬲							
嬴							
嬶							
嬸							
嬻							
嬾							
孀							
孁							
孅							
孋							
孌							
子							
孑							
孒							
孔							
孕							
孖							
字							
存							
孚							
孛							
孜							
孝							
孞							
孟							
季							
孤							
孥							
学	學				斅		斈
孨							
孩							
孫							
孮							
孯							
孰							
孱							
孵							
孶							孳
孺							
孼							孽
孾							
孿							
宀							
宁							
它							
宄							
宅							
宇					㝢		𡧃
守				垨			
安							
宊							
宋							
完							
宎							
宏							
宑							
宓							
宔							
宕							
宖							
宗							
官							
宙							
定							
宛							
宜			宐		𡪀		冝
宝	寶				寚		寳
実	實						实
客							
宣							
室							
宥							
宦							
宨							
宬							
宭							
宮							
宯							
宰							
宱							
宲							
害							
宴							
宵							
家							
宸							
容							
宺							
宿			㝛				
寀							
寁							
寂			𡧯				𡨜
寄							𭔃
寅							
密							
寇							冦宼𡨥
富							冨
寎							
寏							
寐							
寒							
寓				庽			
寔							
寘							
寙							
寛	寬						
寝	寢						
寞							
察					詧		
寠							
寡							
寤							
寥							
寧	寧				寍		
寨							
審					宷		
寮							
寯							
寰							
寱							
寴							
寵							
寸							
寺							
寽							
対	對						对
寿	壽						夀
封							
専	專						
尃							
射							
将	將						
尉				叞			
尊							
尋							
尌							
導							
小							
少							
尖							
尗							
尚	尙						
尠			尟				
尢							
尤							
尦							
尨							
尬							
尭	堯						
尮							
尰							
就							
尲				凲			尶
尵							
尸							
尹							
尺							
尻							㞍
尼							
尽	盡						
尾							
尿							
局							
屁							
居							
屈							
届	屆						
屋							
屍							
屎				宩			
屐							
屑							
屓			屭				
展							
屙							
屚							
屛						屏	
屜							
属	屬						
屠							
屢							屡
屣							
層	層						
履							
屧							屟
屨							
屩							
屮							
屯							
屰							
山							
屴							
屵							
屶							
屹							
屺							
屻							
屼							
岇							
岊							
岌							
岏							
岐					㟚		
岑							
岒							
岔							
岝							
岟							
岠							
岡				堽			𦊆
岢							
岣							
岦							
岧							
岨							
岩							
岪				𡶒			
岫							
岬							
岭				岺			
岱							
岲							
岳	嶽						
岵							
岶							
岷							
岸							㟁屽𡶜
岻							
岼							
岾							
峅							
峇							
峉							
峋							
峐							
峒							
峗							
峙							
峝							
峠							
峡	峽						
峨				峩			
峪							
峭							
峮							
峰				峯			
峱				巎			
峲							
峴							
島			㠀	嶋嶌嶹隯			陦
峺							
峻							
崁							
崆							
崇							
崋							
崍							
崎				㟢			嵜﨑
崑				崐			
崒							
崔							
崖				崕			
崗							
崙				崘			
崚							
崛							
崝							
崟							
崠							
崢							
崣							
崤							
崦							
崩							
崫							
崱							
崴							
崹							
崽							
崿							
嵁							
嵂							
嵃							
嵆				嵇			
嵈							
嵊							
嵋							
嵌							
嵎							
嵐							
嵑							
嵒				嵓			
嵕							
嵙							
嵟							
嵡							
嵢							
嵤							
嵩				崧			
嵪							
嵫							
嵬							
嵭							
嵯				嵳			
嵰							
嵶							
嵹							
嵺							
嵾							
嵿							
嶁							
嶂							
嶄				嶃			
嶇				岴			
嶈							
嶊							
嶐							
嶒							
嶓							
嶔							
嶕							
嶗							
嶙							
嶛							
嶝							
嶟							
嶠							
嶢				嶤			𡸳
嶧							𡵸
嶫							
嶬				䧧			
嶮							𡸴
嶰							
嶲							
嶴							
嶷							
嶸				峵			
嶺							
嶼							
巃							
巇							
巉							
巋							
巌	巖			巗			
巍							
巐							
巑							
巒							
巓							
巘							
巙							
川			巛				
州							
巠							坙
巡							廵
巣	巢						
巤							
工							
左							㔫
巧							
巨							
巩							
巫							
差							
己							
已							
巳							
巴							
巷				衖			
巸							
巹							卺
巻	卷						
巽	巽						
巾							
巿							
市							
布							
帆				㠶䑺			
帇							
希							
帍							
帑				伖			
帔							
帕				絈			
帖							
帘							
帙				袠			
帚							
帛							
帝							
帟							
帠							
帥							
帨							
師							师
席							
帯	帶						
帰	歸				㱕		皈
帲							
帳							
帵							
帷							
常							
帽							
帾							
幀							
幃							
幄							
幅							
幇				幫			帮
幉							
幋							
幌							
幎				幂			
幐							
幑							
幓							
幔							
幕				幙			
幖							
幗							
幘							
幛							
幜							
幞							
幟				旘			
幡							
幢							
幣							幤
幨							
幪							
幬							
幭							
幮				㡡			
幰							
干							
平							
年			秊				
幵							
幷						并	
幸					𠂷		
幹			榦				
幺							
幻							
幼							
幽							
幾							
广							
庀							
庁	廳						廰
広	廣						
庄							
庇							
床							
庋							
庎							
序							
底							
庖							
店							
庚							
府							
庠							
庢							
庤							
庥							
度							
座							
庨							
庪							
庫							
庬							
庭							
庱							
庳							
庵							
庶							庻
康							
庸							
庹							
庾							
廁							厠
廂							厢
廃	廢						
廆							
廈							厦
廉	廉						
廊	廊						
廋							
廌							
廎							
廑							厪
廒							厫
廓							
廔							
廕							
廖							
廛				鄽			壥
廜							
廝							厮
廞							
廟							庙庿
廠							厰
廡							
廥							
廨							
廩							廪
廫							
廬							
廱							
廴							
延							
廷							
建							
廻				迴𢌞			廽
廾							
廿							卄
开							
弁	瓣辨辯弁		辧	覍			
异							
弄							
弆							
弇							
弈							
弊			獘				
弋							
式							
弐	貳						貮
弑							
弓							
弔							
引							
弖							
弗							
弘							
弙							
弛				㢮			
弜							
弝							
弞							
弟							
弡							
弢							
