親字	旧字	正字	本字	同字	古字	簡易	俗字
踸				趻			
踹							
踽							
蹀							
蹁							
蹂							
蹄				蹏			
蹇							
蹈							𨂻
蹉							
蹊							
蹋				蹹			
蹌							
蹍							
蹎							
蹐							
蹔							
蹕				𠌫			
蹙							
蹛							
蹜							
蹝							
蹟							
蹠							
蹡							
蹢							
蹣							
蹩							
蹪							
蹬							
蹭							
蹯							
蹱							
蹲							
蹴				蹵			
蹶				蹷			
蹺							
蹻							
蹼							
躁				趮			
躂							
躄				躃			
躅							
躇							
躉							
躊							踌
躋							
躍							
躐							
躑							
躒							
躓							
躔							
躕							蹰
躘							
躙				躪			
躚				蹮			
躛							
躝							
躞							
躡							
躢							
躧							
躩							
身							
躬				躳			
躮							
躱				軃			
躵							
躺							
躻							
躽							
躾				𬧧			
軀							躯
軁							
軇							
軈				軅			
車							
軋							
軌				䡄			
軍			𠣞				
軏							
軑							
軒							
軔							
軛			軶				
軜							
軟		輭					
転	轉						
軨							
軫							
軭							
軮							
軱							
軵							
軷							
軸							
軹							
軺							
軻							
軼							
軽	輕						
軾							
輂							
較							
輅							
輇							
輈							
載							儎
輊							
輐							
輒							輙
輓							
輔							
輖							
輗							
輘							
輛							輌
輜			輺				
輝							
輞							
輟							
輠							
輡							
輢							
輣							
輥							
輦							
輧							
輨							
輩							軰
輪							
輫							
輬							
輮							
輯							
輳							
輴							
輵				轕			
輶				輏			
輷							
輸	輸						
輹							
輻							
輾							
輿				轝			
轀							
轂							
轃							
轄							
轅							
轆							
轇							
轊							
轌							
轍							
轎							
轏							
轑							
轒							
轓							
轔							
轗							
轘							
轜				輀			
轞							
轟							軣
轡							
轢							
轣							
轤							䡎
轥							
辛							𨐌
辜							
辞	辭			辤	辝		
辟							
辡							
辣				辢			
辥							
辦							
辮							
辰							
辱							
農							
辴							
辵							
辷							
辸							
辺	邊						邉
辻							
込							
辿							
迀							
迂							
迄							
迅							
迋							
迍							
迎							
运							
近							
迒							
迓							
返							
迕							
迚							
迠							
迢							
迣							
迤				迆			
迥							逈
迦							
迨							
迪							廸
迫				廹			
迭							
迮							
述							
迱							
迵							
迶							
迷							
迹							
迺							廼
迻							
追							
迾							
退							
送							
适							
逃							迯
逄							
逅							
逆							
逋							
逌							
逍							
透							
逐							
逑							
逓	遞						
途							
逖					逷		
逗							
逘							
這							这
通							
逛							
逝							
逞							
速							
造							
逡							
逢							
連	連						
逧							
逨							
逩							
逪							
逬							迸
逭							
逮							
逯							
週							
進							
逳							
逴							
逵							
逶							
逸	逸						
逼							
逾							
逿							
遁							
遂							
遃							
遄							
遅	遲			赿	遟		
遇							
遉							
遊							
運							
遍							
過							过
遏							
遐							
遑							
遒				逎			
道				噵	衜衟		
達							达逹
違							
遖							
遘							
遛			𨖻				
遜							
遝							
遠							
遡			㴑	泝溯			
遢							
遣							
遥	遙						
遦							
遧							
遨							
適							
遬							
遭							
遮							
遯							
遰							
遴							
遵							
遶							
遷							迁
選							
遹							
遺							
遻				遌			
遼	遼						
遽							
避							
邀							
邁							
邂							
邃				𨗉			
還							还
邅							
邇							迩
邈							
邋							
邌							
邎							
邏							
邐							
邑							
邕							
邗							
邘							
邙							
邛							卭
邠							
邡							
邢			郉				
那							
邥							
邦							
邪							
邯							
邰							
邱							
邲							
邳							
邴							
邵							
邶							
邸							
邽				郌			
邾							
郁							
郃							
郅							
郇							
郈							
郊							
郎	郞			郒			
郕							
郗							
郘							
郙							
郛							
郜							
郝							
郟							
郡							
郢				𨙼			
郤							郄
郥							
部				郶			
郪							
郫							
郭							
郯							
郰							
郲							
郴							
郵							
郷	鄕						
都	都						
郾							
郿							
鄀							
鄂							
鄃							
鄄							
鄅							
鄆							
鄈							
鄍							
鄏							
鄐							
鄒							
鄔							
鄖				䢵			
鄗							
鄘							
鄙							
鄚							
鄜							
鄞							
鄠							
鄢							
鄣							
鄥							
鄧							
鄩							
鄭							
鄮							
鄯							
鄱							
鄲							
鄴							
鄶							
鄹							
鄺							
酃							
酆							鄷
酇							鄼
酈							
酉					丣		
酊				仃			
酋							
酌							
配							
酎							
酏							
酒							
酓							
酔	醉						酻
酖							
酗							
酘							
酚							
酛							
酡							
酢				醋			
酣							
酤							
酥							
酩							
酪							
酬				醻			酧
酭							
酲							
酳							
酴							
酵							
酷							
酸							
酹							
酺							
醁							
醂							
醃							
醅							
醆							
醇				醕			
醊							
醍							
醐							
醑							
醒							
醓							
醔							
醘							
醜							
醞							
醡							
醢							
醦							
醨							
醪							
醬						醤	
醭							
醮							
醯							
醰							
醱							醗
醲							
醳							
醴							
醵							
醶							
醸	釀						
醺							
醽							
醿							
釁							
釂							
釃							
釄							
釅							
釆							
采							
釈	釋						
釉							
里							
重							
野					埜壄		㙒𡌛
量							
釐							
金							
釓							
釔							
釗							
釘							
釙							
釚							
釛							
釜				釡鬴			
針							
釞							
釟							
釣							
釤							
釥							
釦							
釧							
釩							
釪							
釬				銲			
釭							
釮							
釰							
釱							
釲							
釵							
釶							
釷							
釹							
釻							
釽							
釿							
鈀							
鈁							
鈄							
鈅							
鈇							
鈉							
鈊							
鈌							
鈍							
鈐							
鈑							
鈒							
鈓							
鈔							
鈕							
鈖							
鈗							
鈘							
鈜							
鈝							
鈞							
鈣							
鈤							
鈥							
鈦							
鈨							
鈯							
鈰							
鈳							
鈴							
鈵							
鈶							
鈷							
鈸							
鈹							
鈺							
鈼							
鈾							
鈿							
鉀							
鉂							
鉃							
鉄	鐵				銕		鐡
鉅							
鉆							
鉈				鉇			
鉉							
鉊							
鉋							
鉍							
鉎							
鉏							
鉐							
鉑							
鉖							
鉗							
鉘							
鉙							
鉚							𨥫
鉛							鈆
鉜							
鉝							
鉞							
鉠							
鉡							
鉢				盋𥁊			缽
鉤							鈎
鉥							
鉦							
鉧							
鉨				鈮			
鉮							
鉯							
鉰							
鉱	鑛						
鉵							
鉶							
鉷							
鉸							
鉹							
鉻							
鉽							
鉾							
鉿							
銀							
銃							
銅							
銈							
銉							
銊							
銍							
銎							
銑							
銒							
銓							
銖							
銗							
銘							
銙							
銚				鑃			
銛							
銜				㘅			啣衘
銟							
銠							
銤							
銥							
銧							
銨							
銫							
銭	錢						
銯							
銶							
銷							
銸							
銹				鏥鏽			
銺							
銻							
銼							
銽							
銿							
鋀							
鋁							
鋂							
鋃							
鋅							
鋆							
鋇							
鋈							
鋋							
鋌							
鋍							
鋎							
鋏							𨦇
鋐							
鋒							
鋓							
鋕							
鋗							
鋘							
鋙							
鋜							
鋝							
鋟							
鋠							
鋡							
鋣				鎁			
鋤							
鋥							
鋧							
鋨							
鋩							釯
鋬							
鋭	銳						𨦣
鋮							
鋰							
鋲							
鋳	鑄						
鋷							
鋸							
鋹							
鋺							
鋻							
鋼							
鋿				鑜			
錀							
錂							
錆							
錈							
錍							
錏							
錐							
錑							
錔							
錕							
錘							
錙			鍿				
錚							
錜							
錝							
錞							
錟							
錠							
錡							
錣							
錤							
錥							
錦							
錧							
錨							
錩							
錪							
錫							
錬	鍊						
錮							
錯							
録	錄						
錳							
錴							
錵							
錶							
錷							
錺							
錻							
鍄							
鍇							
鍈							
鍉							
鍋							
鍍							
鍐							
鍑							
鍒							
鍔							
鍕							
鍖							
鍗							
鍘							
鍚							
鍛				煅			
鍜							
鍞							
鍠							
鍤							
鍥							
鍧							
鍩							
鍪							
鍬				鍫			
鍭							
鍮							
鍰							
鍱							
鍴							
鍵							
鍶							
鍺							
鍼							
鍽							
鍾							
鎀							
鎂							
鎈							
鎊							
鎋							
鎌				鐮			
鎍							
鎏							
鎕							
鎖				鏁			鎻
鎗							
鎘							
鎚							
鎛							
鎞							
鎡							
鎢							
鎣							
鎤							
鎧							
鎨							
鎩							
鎪							
鎬							
鎮	鎭						
鎰							
鎴							
鎵							
鎶							
鎹							
鎺							
鏂							
鏃							
鏄							
鏅							
鏆							
鏇							
鏈							
鏉							
鏊							
鏋							
鏌							
鏍							
鏐							
鏑							
鏓							鍯
鏖							
鏗							
鏘							𨪙
鏙							
鏜							
鏝							𨭜
鏞							
鏟							𨩱
鏡							
鏢							
鏤							𨩐
鏦							
鏧							
鏨							
鏱							
鏵							
鏷							
鏸							𨫍
鏹							
鏺							
鏻							
鐁							
鐂							鎦
鐃							
鐄							
鐇							
鐈							
鐉							
鐍							
鐎							
鐏							
鐐							
鐓							
鐔							
鐖							
鐗							
鐘							
鐙							
鐚							
鐟							
鐫							鎸
鐯							
鐱							
鐲							
鐳							
鐴							
鐶							
鐸							鈬
鐺							
鐻							
鐽							
鐿							
鑁				鎫			
鑅							
鑈							鉩
鑊							
鑌							
鑑				鍳鑒			
鑓							𨯯
鑕							
鑙							
鑞							
鑟							
鑠							
鑡							
鑢							
鑣							
鑨							
鑪							鈩
鑫							
鑭							
鑮							
鑯							
鑰							
鑱							
鑲							
鑷							
鑼							
鑽							鑚
鑾							
鑿							
钁							
钃							
钄							
長				兏	镸		
镹							
門							
閂							
閃							
閄							
閈							
閉							閇
閊							
開							
閌							
閍							
閎							
閏				閠			
閑							
間	閒						
閔							
閖							
閘							
閜							
閝							
閞							
閟							
閡							
関	關						
閣							
閤							
閥							
閦							
閧							
閨							
閩							
閫							
閬							
閭							
閲	閱						
閶							
閹				剦			
閺							
閻				閆			
閼							
閽							
閾							
閿							
闃				閴			
闆							
闇							
闈							
闉							
闊							濶𤄃
闋							
闌							
闍							
闐							
闑							
闒							
闓							
闔							
闕							
闖							
闘	鬪	鬭					鬦
闙							
闚							
闝							
闞							
闟							
闠							
闡							
闢							
闤							
闥							
闦							
阜							
阞							
阡							
阢							
阤							
阨				阸			
阪							
阬							
阮							
阯							
防							
阷							
阹							
阺							
阻							
阼							
阽							
阿							
陀							
陁							
陂							
附							
陋							
陌							
降	降				夅		
陏							
限							
陒							
陔							
陖							
陗							
陘							
陛							
陜				陿			
陝							
陞							
陟				徏			
陡							
院							
陣							
除							
陥	陷						
陪							
陬							
陮							
陰					侌		阥阴隂
陲							
陳							
陴							
陵							
陶							
陸							
険	險			礆			
陼							
陽							阦阳
陾							
隃							
隄							
隅							
隆	隆						
隈							
隉							
隊							
隋							
隍							
階				堦			
随	隨						
隑							
隔							
隕							
隗							
隘							
隙					隟		𨻶
隚							
際							
障							
隝							
隞							
隠	隱				乚		
隣		鄰			厸		
隤							
隥							
隦							
隧							
隩							
隮							
隰							
隳							
隴							𨻫
隶							
隷	隸						
隹							
隺							寉
隻							
隼							
雀							
雁				鳫			
雄							䧺
雅							
集			雧	𠍱			
雇							僱
雉							
雊							
雋				隽			
雌							
雍							
雎				鴡			
雑	雜			襍			
雒							
雕							
雖							𨿽
雘							
雚							
雛							
雝							
雟				嶲			
離							
難	難						
雨							
雩							
雪			䨮				
雫							
雯							
雰							
雱							
雲							
零							
雷			靁				
雹							
電							
需							
霂							
霃							
霄							
霅							
霆							
震							
霈							
霉							
霊	靈			䨩	霛		㚑灵
霍							
霎							
霏							
霑							
霓							
霔							
霖							
霙							
霜							
霝							
霞							
霢				霡			
霣							
霤							
霧			霚		雺		
霨							
霪							
霰							
霱							
露							
霳							
霶							
霹							
霽							
霾							
靂							
靃							
靄							
靆							
靇							
靉							
靊							霻
靏				靍靎			
青	靑						
靕							
靖	靖						
靗							
靘							
静	靜						
靚							
靛							
非							
靠							
靡							
面							靣
靦							
靧							
靨							
革							
靪							
靫							
靮							
靱		靭		韌			
靳							
靴			鞾				
靶							
靷							
靸							
靹							
靺							
靻							
靼							
靽							
靿							
鞁							
鞄							
鞅							
鞆							
鞋				鞵			
鞍				鞌			
鞏							
鞐							
鞕							
鞖							
鞗							
鞘							
鞙							
鞚							
鞜							
鞞							
鞠							
鞢							
鞣							
鞦							
鞨							
鞫							
鞬							
鞭							
鞮							
鞳							
鞴							
鞶							
鞸							
鞹							鞟
鞺							
鞼							
鞿							
韁							
韃							
韄							
韅							
韆							
韇							
韉							
韊							
韋							
韍							
韎							𩎟
韐							
韑							
韓							
韔							
韗							
韙							
韛							
韜				鞱			轁
韝				鞲			
韞							
韡							
韤				襪韈			
韭							
韮							
韱							韯
音							
韴							
韶							
韷							
韸							
韺							
韻				韵			
響	響						响
頁							
頂							
頃							
頄							
項							
順							
頇							
須							
頊							
頌							
頍							
頎							
頏							
預							
頑							
頒							
頓							
頔							
頖							
頗							
領							
頙							
頜							
頞							
頟							
頠							
頡							
頣							
頤							頥
頦							
頫							
頭							
頮							
頯							
頰							頬
頲							
頵							
頷							
頸							頚
頻	頻						
頼	賴						
頽		頹					頺
顄							
顆							
顇							
顉							
顊							
題							
額							
顎							
顑							
顒							
顓							
顔	顏						
顕	顯						
顗							
願							
顙							
顚							顛
類	類						
顢							
顣							
顥							
顦							
顧							
顪							
顫							
顬							
顰							
顱				髗			
顳							
顴							
風					凬凮飌		
颪							
颫							
颭							
颮							
颯							
颰							
颱							
颴							
颶							
颸							
颺							
颻				䬙			
颼							
颿							
飂							
飄				飃			
飅							
飆							颷飇飈
飋							
飛							
食			𠊊				
飢							
飣							
飥							
飦							
飧				湌			飡飱
飩							
飪				餁			
飫							
飭							
飯	飯			飰			
飲	飮						
飳							
飴							
飶							
飼	飼						
飽							
飾				餝			
餂							
餃							
餅	餠						
餇							
餈							糍𩝐
餉				饟			
養				羪			养
餌							
餐							
餑							
餒							
餓							
餔							
餕							
餖							
餗							
餛							
餜							
餞							䬻
餟							
餡							
餢							
餤							
餦							
餧				餵			
館	館						舘
餫							
餬							
餮							
餱				糇			
餲							
餳							
餴				饙			
餹							
餺							
餼							
餽							
餾							
饀							
饁							
饂							
饅							
饆							
饇							
饈							
饉							
饋							
饌			䉵				
饎							
饐							
饑							
饒							𩜙
饔							
饕							
饗							
饘							
饛							
饜							
饞							
饠							
首							
馗							
馘				聝			
香							
馛							
馝							
馞							
馟							
馣							
馥							
馦							
馨							
馬							
馭							
馮							
馰							
馲				驝			
馳							
馴							
馵							
馹							
馺							
馼							
馽							
駁							
駃							
駄		馱					
駅	驛						
駆	驅				敺		駈
駉							
駐							
駑							
駒							
駓							
駔							
駕							
駘							
駙							
駚							
駛							
駜							
駝				駞			
駟							
駧							
駪							
駫							
駬							
駭							
駮							
駰							
駱							
駲							
駴							
駸							
駹							
駻				馯			
駼							
駽							
駾							
駿							
騁							
騂							
騃							
騄							
騅							
騈							駢
騊							
騋							
騎							𮪍
騏							
騑							
騒	騷						
験	驗						騐
騖							
騙							
騚							
騞							
騠							
騢							
騣							騌
騤							
騧							
騫							
騭							隲
騮			駵	驑			
騰							
騱							
騳							
騵							
騶							
騸							
騾			驘				
驀							
驁				䮯			
驂							
驃							
驄							
驇							騺
驊							
驋							
驌							
驍							
驎							
驒							騨
驔							
驕							
驖							
驚							
驟							
驢							馿
驤							
驥					蘎		
驦							
驩							
驪							
驫							
骨							
骪							骫
骬							
骭							
骮							
骯							
骰							
骲							
骴							
骶							
骷							
骸							
骹							
骻							
骼							
骾							
骿							
髀							
髁							
髃							
髄	髓			䯝膸			
髆							
髈							
髎							
髏							
髐							
髑							
髒							
髖							
高							髙
髛							
髜							
髝							
髞							
髟							
髡							髠
髢							
髣							
髤				髹			
髥							髯
髦							
髧							
髪	髮						
髫							
髬							
髭				頾			
髱							
髲							
髳							
髴							
髵							
髷							
髺							
髻							
髽							
髾							
髿							
鬀							
鬁							
鬃							
鬄							
鬅							
鬆							
鬈							
鬉							
鬋							
鬌							
鬍							
鬎							
鬐							
鬒							
鬖							
鬘							
鬙							
鬚							
鬜							
鬟							
鬠							
鬢							髩鬂
鬣							鬛
鬥							
鬧							閙
鬨							
鬩							
鬫							
鬮							䦰䰗
鬯							
鬱							欝𣡸
鬲				䰛			
鬳							
鬵							
鬷							
鬹							
鬺							
鬼							
鬽							
魁							
魂				䰟			
魃							
魄							
魅							
魈							
魋							
魌							
魍							
魎							
魏							
魑							
魔							
魕							
魖							
魗							
魘							
魚							𩵋
魛							
魞							
魡							
魥							
魦							
魨							
魪							
魫							
魬							
魭							
魮							
魯							
魳							
魴							
魵							
魶							
魷							
魸							
魹							
魿							
鮀							
鮃							
鮄							
鮅							
鮇							
鮊							
鮋							
鮍							
鮎							
鮏				鯹			
鮐							
鮑							
鮒							
鮓							
鮔							
鮖							
鮗							
鮚							
鮞							
鮟							
鮠							
鮦							
鮧							
鮨							
鮩							
鮪							
鮫							
鮬							
鮭							
鮮							
鮰							
鮱							
鮲							
鮴							
鮷							
鮸							
鮹							
鮼							
鮿							
鯀							
鯁							
鯆							
鯇							
鯈							
鯉							
鯊				鮻			
鯎							
鯏							
鯐							
鯑							
鯒				𩷛			
鯔							
鯖							
鯘				鮾			
鯛				鮉			
鯝							
鯟							
鯡							
鯢							
鯣							
鯤							
鯥							
鯧							
鯨							
鯪							
鯫							
鯮							
鯯				䱥			
鯰							
鯱							
鯲							
鯳							
鯷							
鯸							
鯺							
鯽							
鯿							
鰀							
鰂							
鰄							
鰅							
鰆							
鰈							
鰉							
鰊							
鰋							
鰌							
鰍							
鰏							
鰐				鱷			
鰑							
鰒							
鰓							
鰔							
鰕							
鰖							
鰘							
鰙							
鰚							
鰜							
鰝							
鰞							
鰡							
鰢							
鰣							
鰤							
鰥							
鰦							
鰧							
鰨							
鰩							
鰪							
鰭							
鰮				鰛			
鰯							
鰰							
鰱							
鰵							
鰶							
鰷							
鰹							
鰺				鯵			
鰻							
鰽							
鰾							
鱁							
鱃							
鱄							
鱅							
鱆							
鱇							
鱈							
鱊							
鱎							
鱏							
鱐							
鱒							
鱓							鱔
鱖				鱥			
鱗							
鱘							
鱚							
鱛							
鱜							
鱝							
鱞							
鱟							
鱣							
鱧							
鱨							
鱩							
鱪				鱰			
鱫							
鱭				鮆			
鱮				魣			
鱲							
鱵							
鱶				鯗			鮝
鱸							魲
鱺							
鱻							
鳥							
鳦							
鳧							鳬
鳩							
鳰							
鳲							
鳳							
鳴							
鳶							
鳷							
鳹							
鴂							
鴃							
鴆							
鴇							
鴈							
鴉				鵶𩿎			
鴋							
鴑							
鴒							
鴕							
鴗							
鴘							
鴛							
鴝				鸜			
鴞							
鴟							
鴣							
鴦							
鴨				𪀌			
鴪							
鴫							
鴯							
鴰							
鴲							
鴳							
鴴							
鴷							
鴺							
鴻							
鴽							
鴾							
鴿							
鵁							
鵂							
鵃							
鵄							
鵅							
鵆							
鵇							
鵈							
鵊							
鵐							
鵑							
鵒							
鵓							
鵔							
鵙		鶪					
鵜							
鵝				鵞			
鵟							
鵠							
鵡				䳇			
鵢							
鵣							
鵤							
鵥							
鵩							
鵪							
鵫							
鵬							
鵯							
鵰							
鵲							
鵳							
鵷							
鵺							
鵻							
鵼							
鵾							
鶃				鶂			
鶄							
鶆							
鶇							
鶉							
鶊							
鶋							
鶍							
鶎							
鶏	鷄			雞			𨿸
鶒							
鶓							
鶕							
鶖							
鶗							
鶘							
鶙							
鶚							
鶡							
鶤							
鶩							
鶫							
鶬							
鶮							
鶯				鸎			鴬
鶱							
鶲							
鶴				鸖			鶴
鶵							
鶸							
鶹							
鶺							
鶻							
鶼							
鶽							
鶿				鷀			
鷁							
鷂							
鷃							
鷆							鷏
鷇							
鷉							
鷊							
鷓							
鷔							
鷕							
鷖							
鷗						鴎	
鷘							
鷙							
鷚							
鷞							
鷟							
鷠							
鷣							
鷤							
鷥							
鷦							
鷧							
鷩							
鷫							
鷭							
鷮							
鷯							
鷲							
鷴				鷳			
鷸							
鷹							
鷺				鴼			
鷽							
鷾							
鸂							
鸃							
鸇							
鸊				鷿			
鸋							
鸍							
鸐							
鸑							
鸒							
鸓							
鸕							
鸙							
鸚							
鸛							
鸝							
鸞							
鹵							
鹹							醎
鹺							
鹻							
鹼						鹸	碱
鹿							𢈘
麀							
麂							
麃				麅			
麇				麏麕			
麈							
麋							
麌							
麎							
麑							
麒							
麓							
麖							
麗							䴡
麘							
麛							
麝							
麞				獐			
麟							
麤							麁麄
麦	麥						
麨							
麩							麬麸
麭							
麮							
麰							
麳							𪎌
麴				麯		麹	
麺	麵	麪					
麻							蔴
麼							麽
麾							
麿							
黄	黃						
黆							
黈							
黋							
黌							
黍							
黎							
黐							
黒	黑						
黔							
黕							
黙	默						
黛			黱				
黜							
黝							
黟							
黠							
黥							
黧							
黬							
黭				黤			
黮							
黯							
黰							
黲							
黴							
黵							
黶							
黷							
黸							
黹							
黻							
黼							
黽			𪓑				黾
黿							
鼂							
鼄							
鼇							鰲
鼈				鱉龞			
鼉							
鼎				𣇄	鼑		𪔂
鼏							
鼐							
鼒							
鼓							皷
鼔							
鼕							
鼖							
鼗				鞀鞉			
鼙							
鼚							
鼛							
鼟							
鼠							䑕鼡
鼢							
鼩							
鼪							
鼫							
鼬							
鼯							
鼱							
鼲							
鼴				鼹			
鼷							
鼺							
鼻							
鼼							
鼽							
鼾							
鼿							
齁							
齃							
齆							
齇				齄			
齌							
齎				賷			
齏				䪡虀韲			
齔				齓			
齕							
齖							
齗							
齘							
齝							
齞							
齟							𪗱
齠							
齢	齡						
齣							
齦							
齧				囓			𪘂
齨							
齩							
齪							
齬							𪘚
齭							
齮							
齯							
齰				齚			
齱							
齲							
齳							
齵							
齶				腭			
齷							
齺							
齽							
齾							
龏							
龐							
龑							
龔							
龕							𪚕
龖							
龗							
龠							
龡							
龣							
﨏							
﨟				臈			
蘒							蘒
﨡							
﨤							
屮							
廙							廙
𠂉							
𠂢							
𠂣							㐆
𠌸							
𠎁							
𠏹							
𠔉							
𠗌							
𠗖							
𠠺							
𠢹							
𠥼							
𠦝							
𠫓							
𠬝							
𠮟							
𠮠							
𠷡							
𠹤							
𠹭							
𠺕							
𠽟							
𡈁							
𡉕							
𡉴							
𡋗							
𡋽							
𡌶							
𡍄							
𡏄							
𡑭							
𡑮							
𡗗							
𡚴							妛
𡜆							
𡝗							
𡢽							
𡯁		尩		尣尫			尪
𡱖							
𡴭							
𡵅							
𡵢							
𡶡							
𡶷							
𡷠							
𡻟							
𡼞							
𡽶							
𡿧							
𡿺							
𢅻							
𢎭							
𢢫							
𢦏							
𢭆							
𢰝							
𢷡							
𢾅							
𣇵							
𣍲							
𣏒							
𣏚							
𣏟							
𣏤							
𣑊							
𣑋							
𣑑							
𣕚							
𣖔							
𣗄							
𣘸							
𣘹							
𣙇							
𣜌							
𣜿							
𣝤							
𣟧							
𣟿							
𣪘							
𣴀							
𣷓							
𣷺							
𣽾							
𤇾							
𤘩							
𤚥							
𤟱							
𤢖							
𤩍							
𤭖							
𤭯				楾			
𤶠							
𤸎							
𤸷							
𥁕				昷			
𥇍							
𥉌							
𥐮							
𥓙							
𥖧							
𥝱							
𥞩							
𥞴							
𥧔							
𥪯							
𥫤							
𥫱							
𥮲							
𥱤							
𥶡							
𥹖							
𥻂							
𥻘							
𥻨							
𥼣							
𥽜							
𥿔							
𥿠							
𥿻							
𦀌							
𦁠							
𦃭							
𦊆							
𦚧							
𦣝							
𦥑							
𦥯							
𦧝							
𦧴							
𦨞							
𦩘							
𦪌							
𦪷							
𦰩							
𦳝							
𦹀							
𦿸							
𧃴							
𧄍							
𧄹							
𧏚							
𧏛							
𧏾							
𧐐							
𧑐							
𧘔							
𧘕							
𧘱							
𧚄							
𧚓							
𧜣							
𧝒							
𧥎							
𧦝							
𧮳							
𧶠							
𨂊							
𨄅							
𨉷							
𨊂							
𨋳							
𨏍							
𨑕							
𨕫							
𨗈							
𨛗							
𨛺							
𨥆							
𨥉							
𨦈							
𨦺							
𨦻							
𨨩							
𨨲							
𨩃							
𨫤							
𨯁							
𨴐							
𨵱							
𨷻							
𨸶							
𨺉							
𨻳							
𩊠							
𩊱							
𩒐							
𩗏							
𩛰							
𩣆							
𩩲							
𩸕							
𩸽							
𩹉							
𩺊							
𩻄							
𩻛							
𩻩							
𪀚							
𪀯							
𪂂							
𪃹							
𪆐							
𪇳							
𪐷							
𪗋							
𪚲							
𫒒							
𫺗							
𬀧							
𬏈							
𬼂							
憯							
拼							拼
揅							揅
枅							枅
栟							栟
濆							濆
𱰭							
竮							
聠							聠
莽							莾莽
螆							
賁							賁
跰							跰
鉼							鉼
鐕							
韠							
