親字	旧字	異体字
慍		
慎	愼	
慓		
慕		
慙		慚
慝		
慟		
慠		
慢		
慣		
慥		
慧		
慨	慨	
慫		
慮		
慰		
慳		
慴		
慵		
慶		
慷		
慾		
憂		
憊		
憎	憎	
憐		
憑		
憔		
憖		
憚		
憤	憤	
憧		
憩		
憫		
憬		
憮		
憲		
憶		
憺		
憾		
懃		
懆		
懇		
懈		
懊		
懋		
懌		
懍		
懐	懷	
懣		
懦		
懲	懲	
懶		
懸		
懺		懴
懼		
懽		
懾		
懿		
戈		
戉		
戊		
戌		
戍		
戎		
成	成	
我		
戒		
戔		
或		
戚		
戛		戞
戟		
戡		
戦	戰	
截		
戮		
戯	戲	
戳		
戴		
戸	戶	
戻	戾	
房		
所		
扁		
扇		
扈		
扉		
手		
才		
扎		
打		
払	拂	
托		
扛		
扞		
扠		
扣		
扨		
扮		
扱		
扶		
批		
扼		
找		
承		
技		
抃		
抄		
抉		
把		
抑		
抒		
抓		
抔		
投		
抖		
抗		
折		
抜	拔	
択	擇	
披		
抱		
抵		
抹		
抻		
押		
抽		
担	擔	
拆		
拇		
拈		
拉		
拊		
拋		抛
拌		
拍		
拐		
拑		
拒		
拓		
拗		
拘		
拙		
招		
拝	拜	
拠	據	
拡	擴	
括		
拭		
拮		
拯		
拱		
拳		
拵		
拶		
拷		
拾		
拿		拏
持		
挂		
指		
挈		
按		
挌		
挑		
挘		
挙	擧	
挟	挾	
挨		
挫		
振		
挺		
挽		
挿	插	
捉		
捌		
捍		
捏		
捐		
捕		
捗		
捜	搜	
捧		
捨		
捩		
捫		
据		
捲		
捶		
捷		
捺		
捻		
掀		
掃		
授		
掉		
掌		
掎		
掏		
排		
掖		
掘		
掛		
掟		
掠		
採		
探		
掣		
接		
控		
推		
掩		
措		
掫		
掬		
掲	揭	
掾		
揀		
揃		
揄		
揆		
揉		
描		
提		
揖		
揚		
換		
握		
揣		
揩		
揮		
援		
揶		捓
揺	搖	
搆		
損		
搏		
搓		
搔		掻
搗		
搤		
搦		
搨		
搬		
搭		
搴		
搶		
携		
搾		
摂	攝	
摎		
摏		
摑		掴
摘		
摧		
摩		
摯		
摶		
摸		
摺		
撃	擊	
撈		
撒		
撓		
撕		
撚		
撞		
撤		
撥		
撩		
撫		
播		
撮		
撰		
撲		
撻		
撼		
擁		
擂		
擅		
操		
擒		
擘		
擠		
擡		抬
擢		
擣		
擦		
擬		
擯		
擱		
擲		
擺		
擽		
擾		
攀		
攘		
攢		攅
攣		
攤		
攪		撹
攫		
攬		
支		
改		
攻		
放		
政		
故		
敏	敏	
救		
敖		
敗		
教	敎	
敝		
敞		
敢		
散		
敦		
敬		
数	數	
敲		
整		
敵		
敷		
斂		
斃		
文		
斉	齊	
斌		
斎	齋	
斐		
斑		
斗		
料		
斛		
斜		
斟		
斡		
斤		
斥		
斧		
斫		
斬		
断	斷	
斯		
新		
方		
於		
施		
旁		
旃		
旄		
旅		
旆		
旋		
旌		
族		
旒		
旗		
旛		
既	既旣	
日		
旦		
旧	舊	
旨		
早		
旬		
旭		
旰		
旱		
旺		
旻		
昂		
昃		
昆		
昇		
昊		
昌		
明		
昏		
易		
昔		
昜		
星		
映		
春		
昧		
昨		
昭		
是		
昴		
昵		
昶		
昼	晝	
晁		
時		
晃		
晋	晉	
晏		
晒		
晞		
晟		
晢		晣
晤		
晦		
晧		
晨		
晩	晚	
普		
景		
晰		晳
晴	晴	
晶		
智		
暁	曉	
暄		
暇		
暈		
暉		
暑	暑	
暖		
暗		
暘		
暝		
暢		
暦	曆	
暫		
暮		
暴		
暹		
暾		
曁		
曄		
曇		
曖		
曙		
曚		
曜		
曝		
曠		昿
曦		
曩		
曬		
曰		
曲		
曳		
更		
曷		
書		
曹		
曼		
曽	曾	
替		
最		
月		
有		
朋		
服		
朏		
朔		
朕		
朗	朗	
望		
朝		
朞		
期		
朦		
朧		
木		
未		
末		
本		
札		
朮		
朱		
朴		
朶		
朸		
机		
朽		
朿		
杆		桿
杉		
李		
杏		
材		
村		
杓		
杖		
杙		
杜		
杞		
束		
杠		
条	條	
杢		
杣		
来	來	
杪		
杭		
杯		
東		
杲		
杳		
杵		
杷		
杼		
松		
板		
枇		
枉		
枋		
枌		
析		
枕		
林		
枚		
果		
枝		
枠		
枡		桝
枢	樞	
枯		
枳		
枴		
架		
枷		
枸		
枹		
柁		
柄		
柊		
柎		
柏		
某		
柑		
染		
柔		
柘		
柚		
柝		
柞		
柢		
柤		
柩		
柬		
柮		
柯		
柱		
柳		
柴		
柵		
査		
柾		
柿		
栂		
栃		
栄	榮	
栓		
栖		
栗		
栞		
校		
栩		
株		
栫		
栲		
栴		
核		
根		
格		
栽		
桀		
桁		
桂		
桃		
桄		
框		
案		
桎		
桐		
桑		
桓		
桔		
桙		
桛		
桜	櫻	
桟	棧	
桴		
桶		
桷		
梁		
梃		
梅	梅	
梏		
梓		
梔		
梗		
梛		
梟		
梠		
梢		
梧		
梨		
梭		
梯		
械		
梱		
梲		
梳		
梵		
梶		
梺		
梻		
棄		
棉		
棋		棊
棍		
棒		
棕		椶
棗		
棘		
棚		
棟		
棠		
棣		
森		
棲		
棹		
棺		
椀		
椁		
椄		
椅		
椈		
椋		
植		
椎		
椏		
椒		
椙		
椚		
椛		
検	檢	
椰		
椴		
椹		
椽		
椿		
楊		
楓		
楔		
楕		橢
楚		
楝		
楞		
楠		
楡		
楢		
楫		
業		
楮		
楯		
楳		
極		
楷		
楸		
楹		
楼	樓	
楽	樂	
楾		
榀		
榁		
概	槪槪	
榊		
榎		
榑		
榔		
榕		
榛		
榜		
榧		
榱		
榴		
榻		
榾		
槁		
槃		
槊		
構		
槌		
槍		
槎		
槐		
槓		
槔		槹
様	樣	
