10級	9級	8級	7級	6級	5級	4級	3級	準2級	2級	準1級	1級
										釧	
										釦	
										釘	
										釋	
										釀	
										醱	
										醬	
										醫	
										醤	
										醗	
										醐	
										醍	
										醉	
										醇	
										酋	
										酉	
										鄰	
										鄭	
										鄕	
										郞	
										郁	
										邑	
										邊	
										遼	
										遲	
										遥	
										遞	
										遙	
										遁	
										逼	
										逢	
										這	
										逗	
										迺	
										迦	
										迄	
										迂	
										辿	
										辻	
										辰	
										辯	
										辭	
										辨	
										轡	
										轟	
										轍	
										轉	
										輿	
										輯	
										輕	
										輔	
										軀	
										躯	
										蹟	
										蹄	
										踐	
										跨	
										趨	
										赫	
										贋	
										贊	
										賴	
										賤	
										賣	
										賑	
										賎	
										貳	
										貰	
										豹	
										豫	
										豐	
										豎	
										讚	
										讓	
										變	
										讃	
										讀	
										譽	
										譯	
										證	
										謬	
										謠	
										謂	
										諺	
										諫	
										諜	
										諒	
										諏	
										諌	
										誼	
										誹	
										詫	
										詑	
										註	
										訣	
										訊	
										觸	
										觀	
										覽	
										覺	
										覗	
										襖	
										襃	
										裳	
										裡	
										裟	
										裝	
										袷	
										袴	
										袈	
										衿	
										衞	
										蠻	
										蠶	
										蠣	
										蠟	
										蠏	
										蠅	
										蟻	
										蟹	
										蟲	
										蟬	
										螺	
										螢	
										蝿	
										蝶	
										蝱	
										蝦	
										蝕	
										蝋	
										蝉	
										蜘	
										蜎	
										蛾	
										蛸	
										蛭	
										蛤	
										蛛	
										蛙	
										蛎	
										蛋	
										蚤	
										虻	
										號	
										虛	
										處	
										蘭	
										蘇	
										蘂	
										藷	
										藪	
										藥	
										藝	
										藏	
										藁	
										薰	
										薯	
										薮	
										薩	
										薙	
										薗	
										蕪	
										蕩	
										蕨	
										蕗	
										蕎	
										蕋	
										蕊	
										蕉	
										蕃	
										蔭	
										蔦	
										蔣	
										蔚	
										蔓	
										蔀	
										蓮	
										蓬	
										蓑	
										蓉	
										蒼	
										蒲	
										蒜	
										蒙	
										蒔	
										蒐	
										蒋	
										葺	
										葵	
										葱	
										葦	
										董	
										葢	
										葡	
										葎	
										萱	
										萬	
										萩	
										萠	
										萌	
										萊	
										萄	
										菱	
										菰	
										菩	
										菟	
										菖	
										菅	
										莵	
										莱	
										莫	
										莞	
										莖	
										莊	
										荻	
										荏	
										荊	
										荆	
										茸	
										茜	
										茅	
										茄	
										苫	
										苧	
										苔	
										苓	
										苒	
										苑	
										苅	
										芹	
										芭	
										芥	
										芙	
										艷	
										艮	
										舵	
										舜	
										舛	
										舘	
										舖	
										舍	
										舊	
										與	
										臺	
										臥	
										臟	
										膿	
										膽	
										膏	
										腿	
										腦	
										腔	
										脹	
										脫	
										脆	
										胤	
										胡	
										肴	
										肱	
										肋	
										肇	
										肅	
										聾	
										聽	
										聲	
										聰	
										聯	
										聨	
										聡	
										耽	
										耶	
										而	
										耀	
										翰	
										翫	
										翠	
										翆	
										罫	
										罐	
										缺	
										纖	
										纒	
										纏	
										續	
										纂	
										繼	
										繫	
										繪	
										繩	
										繡	
										繍	
										繋	
										總	
										縱	
										縣	
										縞	
										緬	
										緣	
										緖	
										緋	
										綾	
										綴	
										綬	
										綠	
										綜	
										經	
										絲	
										絢	
										絃	
										紬	
										紘	
										紗	
										紐	
										糠	
										糟	
										糞	
										糎	
										糊	
										粹	
										粥	
										粟	
										粕	
										粍	
										粂	
										粁	
										籾	
										簾	
										簸	
										簞	
										篭	
										篦	
										篠	
										篇	
										箭	
										箪	
										箕	
										箔	
										箆	
										筑	
										筏	
										筈	
										笹	
										笥	
										笠	
										笈	
										竿	
										竺	
										竪	
										竣	
										竝	
										竊	
										竈	
										竃	
										窺	
										窪	
										窗	
										窄	
										穿	
										穰	
										穩	
										穣	
										穗	
										穐	
										穎	
										穆	
										稻	
										稱	
										稜	
										稗	
										稔	
										稅	
										稀	
										秦	
										秤	
										禿	
										禾	
										禽	
										禱	
										禰	
										禮	
										禪	
										禦	
										禎	
										禄	
										祿	
										祷	
										祢	
										祕	
										祐	
										祇	
										祁	
										礪	
										礦	
										磯	
										磐	
										碩	
										碧	
										碗	
										碓	
										碎	
										碍	
										碇	
										硲	
										硯	
										硏	
										砿	
										砺	
										砧	
										砦	
										砥	
										矩	
										矧	
										瞥	
										眞	
										盡	
										盜	
										盌	
										盈	
										盃	
										皐	
										皋	
										發	
										癡	
										癌	
										瘦	
										痔	
										疹	
										疏	
										疋	
										疊	
										畷	
										當	
										畫	
										畦	
										畢	
										畠	
										甫	
										甥	
										產	
										甜	
										甑	
										甁	
										瓣	
										瓢	
										瓜	
										瑳	
										瑞	
										瑛	
										瑚	
										琶	
										琵	
										琳	
										琢	
										琉	
										珪	
										珊	
										珂	
										玲	
										玖	
										獻	
										獸	
										獵	
										獨	
										獅	
										猷	
										猪	
										狽	
										狼	
										狹	
										狸	
										狛	
										狗	
										狐	
										狀	
										犧	
										犀	
										牽	
										牢	
										牡	
										牟	
										牝	
										牒	
										牌	
										爾	
										爺	
										爲	
										爭	
										爐	
										燭	
